"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-11-10T23:35:36+0000","The Federal Reserve granted the company’s request to change its status, giving it access to low-cost financing.","American Express to Be Bank Holding Company","Business","American Express"
"2",2,"2008-11-19T23:27:32+0000","A trained sommelier and experienced bartender shops for essential bar items and accessories for successful holiday entertaining.","A Cup of Good Cheer","Home","American Express"
"3",3,"2008-11-12T00:48:13+0000","The Fed’s liberal standard to decide which businesses can obtain banking licenses and gain access to government lending opens the door to practices which may prove costly and not necessarily effective.","A Deal Taxpayers May Live to Regret","Business","American Express"
"4",4,"2008-10-30T14:30:49+0000","The credit card company said that it would cut 10 percent of its work force as part of a restructuring that is expected to save $1.8 billion in 2009.","American Express Plans to Trim 7,000 Jobs to Save $1.8 Billion","Business","American Express"
"5",5,"2008-09-20T17:52:03+0000","While the proposed bailout and the newly buoyant market raise Citi’s prospects, the large bank still isn’t out of the woods.","Citigroup: Above the Fray?","SundayBusiness","American Express"
"6",6,"2008-09-18T13:01:32+0000","Lenders have become even less willing to part with their money, further crimping budgets and family spending.","Pain Spreads as Credit Vise Grows Tighter","Business","American Express"
"7",7,"2008-07-22T04:00:00+0000","The company said it was no longer on track to increase earnings per share by 4 percent to 6 percent this year because the economy has slowed, particularly in June.","Earnings Fall at American Express, and Its Shares Suffer","Business","American Express"
"8",8,"2008-06-26T04:00:00+0000","The deal comes months after Visa paid more than $2.1 billion to American Express over similar antitrust claims.","MasterCard Will Pay $1.8 Billion to American Express","Business","American Express"
"9",9,"2008-10-11T05:00:00+0000","","American Express to be bank holding company","IHT News","American Express"
"10",10,"2008-10-11T05:00:00+0000","","American Express to be bank holding company","IHT News","American Express"
"11",1,"2008-10-30T05:00:00+0000","","American Express to cut 10% of workers","IHT News","American Express"
"12",2,"2008-01-11T05:00:00+0000","The company will take a $275 million fourth-quarter charge as more cardholders fail to repay their debts.","American Express Warns About Earnings","Business","American Express"
"13",3,"2008-06-25T05:00:00+0000","","MasterCard pays $1.8 billion to American Express","IHT News","American Express"
"14",4,"2008-06-25T16:26:25+0000","","MasterCard Pays $1.8 Billion to American Express","Business","American Express"
"15",5,"2008-11-11T05:00:00+0000","","American Express becomes bank holding company","IHT News","American Express"
"16",6,"2008-11-11T05:00:00+0000","","American Express becomes bank holding company","IHT News","American Express"
"17",7,"2008-11-11T00:05:46+0000","","American Express to Become Bank Holding Company","Business","American Express"
"18",8,"2008-04-30T11:50:11+0000","","Change at American Express Fuels Deal Chatter","Business","American Express"
"19",9,"2008-10-30T05:00:00+0000","","American Express plans to trim 7,000 jobs","IHT News","American Express"
"20",10,"2008-01-01T05:00:00+0000","","American Express leads U.S. stocks lower","IHT News","American Express"
"21",1,"2008-07-22T05:00:00+0000","","Profit declined 38% at American Express","IHT News","American Express"
"22",2,"2008-06-25T05:00:00+0000","","MasterCard to pay $1.8 billion to American Express in antitrust settlement","IHT News","American Express"
"23",3,"2008-06-21T04:00:00+0000","After fostering the explosive growth of consumer debt in recent years, financial companies are reducing the credit limits on cards held by millions of Americans, often without warning.","Banks Trimming Limits for Many on Credit Cards","Business","American Express"
"24",4,"2008-06-02T04:00:00+0000","Q & A with Stuart Elliott.","Q & A with Stuart Elliott","Business","American Express"
"25",5,"2008-06-11T05:00:00+0000","","Staples wins battle for Corporate Express","IHT News","American Express"
"26",6,"2008-06-11T11:59:57+0000","","Staples Wins Corporate Express for $2.65 Billion","Business","American Express"
"27",7,"2008-04-21T05:00:00+0000","","America through Arab eyes","IHT News","American Express"
"28",8,"2008-04-18T04:00:00+0000","Plum may become the new black for advertisers and media companies.","Plum, the Color, Is Having Its Star Turn","Business","American Express"
"29",9,"2008-05-19T21:26:37+0000","","Staples Begins Hostile Bid for Corporate Express","Business","American Express"
"30",10,"2008-03-27T05:00:00+0000","","Amex to buy GE unit to stabilize earnings","IHT News","American Express"
"31",1,"2008-12-24T13:05:38+0000","","AmEx, CIT Get Approval for $5.7 Billion in TARP Funds","Business","American Express"
"32",2,"2008-05-29T04:00:00+0000","U.P.S. said that it was working toward an agreement with DHL’s Express unit in America to carry air freight for some DHL units within the United States.","DHL Talks With U.P.S. About Carrying U.S. Cargo","Business","American Express"
"33",3,"2008-12-05T16:30:22+0000","The Blue card from American Express once had a smart chip and card reader for home use. Now it makes you eligible for an old-fashioned day planner.","A Credit Card Loses Its High-Tech Cred","Business","American Express"
"34",4,"2008-01-22T20:59:23+0000","Taking Questions: A second and final set of answers from David Grubin, a director and writer who took questions from readers on his three-part documentary, “The Jewish Americans.”","Answers About ‘The Jewish Americans’, Part 2","Metro","American Express"
"35",5,"2008-07-30T11:04:26+0000","","Hedge Fund Investors Feel Pleased","Business","American Express"
