"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-16T22:33:36+0000","Apple said Steven P. Jobs would not appear at Macworld in January and that it would pull out of the conference after January’s event.","Apple’s Chief to Skip Macworld, Fueling Speculation","Business","Apple"
"2",2,"2008-12-17T05:00:00+0000","A recipe for Babette Friedman’s Apple Cake.","Babette Friedman’s Apple Cake","Dining","Apple"
"3",3,"2008-12-02T03:01:16+0000","The Big Apple Circus’s new boss, Guillaume Dufresnoy, will ensure the continuity the circus needs, especially in a tough economy.","Big Apple Circus","Editorial","Apple"
"4",4,"2008-12-26T23:13:58+0000","To collectors, the inability of Apple and EMI to get new versions of the Fab Four’s music onto the market is a symbol of how pathetic the record business has become.","Hard Day’s Night for Beatles Reissues","Culture","Apple"
"5",5,"2008-12-31T23:28:25+0000","Is there a way to turn off the iPhone’s automatic spelling correction? It gets in the way when typing.","No Spelling Help From iPhone","Business","Apple"
"6",6,"2008-12-23T21:31:05+0000","Braeburn, named for an apple, telegraphs a farm-friendly, rustic sensibility, but what winds up on your plate is confused and indecisive.","In the Village, Down Home for Dinner","Dining","Apple"
"7",7,"2008-12-22T00:45:25+0000","A start-up company called Tapulous has turned a simple game for the iPhone into an Internet-age mobile stage for musicians.","Music Games for iPhone Give Artists New Spotlight","Business","Apple"
"8",8,"2008-12-18T01:50:50+0000","Steven P. Jobs has turned Apple into a technology powerhouse — twice. But how much is he worth to the company?","‘Jobs Premium’ Is Worth Billions","Business","Apple"
"9",9,"2008-12-05T04:53:26+0000","How do you teach would-be nurses the delicate task of sensing patients’ moods? Send in the clowns.","Teaching Nurses the Value of Big, Red Noses","Metro","Apple"
"10",10,"2008-12-04T00:42:38+0000","I switched to a Mac from Windows and was wondering what type of maintenance needs to be done to keep the computer running smoothly?","Maintaining the Mac","Business","Apple"
"11",1,"2008-12-04T00:41:49+0000","Certain DVDs advertise a “Digital Copy” available — what is this?","Unlocking DVD’s Digital Copy","Business","Apple"
"12",2,"2008-12-04T00:41:19+0000","Many digital cameras will soon be getting a workout at holiday parties and family gatherings.","Tip of the Week: Extending the Life of Digital Cameras","Business","Apple"
"13",3,"2008-11-26T21:41:49+0000","The Power Slider Case from Incase simultaneously protects and charges your iPhone 3G.","A Case for Filling the iPhone 3G’s Power Vacuum","Business","Apple"
"14",4,"2008-11-08T03:07:18+0000","Apple’s new executive may have violated an agreement with his former employer, I.B.M., a New York judge ruled.","Judge Says Apple Executive Must Cease Working","Business","Apple"
"15",5,"2008-11-04T14:51:54+0000","Apple said that it planned to hire Mark Papermaster to run its iPod and iPhone hardware engineering groups.","Apple Hires I.B.M. Veteran as Device Engineer","Business","Apple"
"16",6,"2008-11-05T05:00:00+0000","A recipe for Baked Apples With Barley-Chorizo Pilaf.","Baked Apples With Barley-Chorizo Pilaf","Dining","Apple"
"17",7,"2008-11-14T01:54:40+0000","David Pogue's ongoing series about products that are no longer with us. This week: the iPod Mini.","In Memoriam: iPod Mini","","Apple"
"18",8,"2008-11-12T05:00:00+0000","The Dial-A-Slice by Amco Housewares can make 8 regular or 16 thin slices of cored apple.","If It Does Matter How You Slice It","Dining","Apple"
"19",9,"2008-10-31T11:22:00+0000","Scenes from the Big Apple Circus’s “Play On!,” performed under a little big top in Damrosch Park at Lincoln Center.","Big Apple, Big Fun","Arts","Apple"
"20",10,"2008-10-31T01:47:25+0000","I.B.M. sued Mark Papermaster, one of its top executives , on Thursday in an attempt to prevent him from taking a position at Apple.","I.B.M. Sues to Block Executive’s Move to Apple","Business","Apple"
"21",1,"2008-11-05T21:09:56+0000","Online shopping services are quickly building applications for smartphones that bring a new dimension to your next trip to the mall.","Hesitating Over a Smartphone’s Price? It Could Save You Money","Business","Apple"
"22",2,"2008-10-21T21:08:41+0000","Apple’s net income increased 26 percent, to $1.14 billion, outpacing Wall Street expectations.","Apple Tops Expectations as iPhone Use Spreads","Business","Apple"
"23",3,"2008-10-30T23:10:06+0000","“Play On!,” the 31st edition of the Big Apple Circus, performed under its little big top in Damrosch Park at Lincoln Center, shining a spotlight on the music essential to the spectacle.","One-Ring Show Sings Many Different Tunes","Weekend","Apple"
"24",4,"2008-10-30T02:38:15+0000","An MTV licensing arrangement with the Beatles may bring the band’s songs to the company’s popular Rock Band video game.","With Deal, Beatles Songs May Enter Digital Age","Business","Apple"
"25",5,"2008-10-29T19:58:36+0000","Most recent iPods have a volume-limit control on the settings menu that can be used to lower the maximum volume to a more ear-friendly level.","Tip of the Week: Limiting the Volume on Your iPod","Business","Apple"
"26",6,"2008-10-17T23:20:13+0000","In the teeth of an economic storm, Steven P. Jobs calmly keeps Apple on the same course it has been following since the skies were clear.","Why This Storm May Stay Away From Apple","SundayBusiness","Apple"
"27",7,"2008-10-14T19:37:28+0000","Steven P. Jobs, Apple’s chief executive, announced a new line of notebook computers that he said were manufactured in a new way.","A New Line From Apple: The Metal MacBook","Business","Apple"
"28",8,"2008-10-22T23:54:04+0000","Ipevo’s TR10 speakerphone, previously made for Skype users only, has been introduced for iChat.","Finally, a Speakerphone Made Just for Macs (Eat Your Heart Out, PC Fans)","Business","Apple"
"29",9,"2008-10-22T19:44:09+0000","A photograph taken 30 years ago from the General Motors Building, looking across Fifth Avenue, shows how the new Apple store has reinvented the G.M. plaza.","Making Peace With a Prominent Hole in the Ground","Metro","Apple"
"30",10,"2008-10-21T22:56:45+0000","Paul Binder, the 66-year-old founder, artistic director and ringmaster of the Big Apple Circus, will be stepping away from the tanbark next year after three decades as boss man of the little top.","Goodbye Greasepaint: Veteran Showman Exits the Tent","Culture","Apple"
"31",1,"2008-10-21T16:45:00+0000","Images of Paul Binder and the Big Apple Circus.","The Ringmaster","Arts","Apple"
"32",2,"2008-10-14T11:01:00+0000","Apple announced a new line of notebook computers that it said were manufactured in a new way.","Sleeker Laptops","Technology","Apple"
"33",3,"2008-10-04T02:33:36+0000","The false report on a CNN citizen journalist site said that Apple’s chief executive, Steven P. Jobs, had a heart attack and was hospitalized.","S.E.C. Investigates Web Report on Apple","Business","Apple"
"34",4,"2008-10-12T21:48:18+0000","In recent days there has been a range of false Internet reports that managed to gain great purchase across the globe while the truth is still logging on.","Spinning a Web of Lies at Digital Speed","Business","Apple"
"35",5,"2008-10-09T21:01:09+0000","It’s that time of year again — when bins in the area’s farmers’ markets overflow with apples, and cider from local orchards tempts.","See Cider in the Making","Regionals","Apple"
"36",6,"2008-10-09T00:05:06+0000","How can I customize my Mac’s alert noise with an MP3 sound clip instead of those stock system sounds?","A Custom Voice for a Computer","Business","Apple"
"37",7,"2008-10-07T21:39:52+0000","Google introduced a new type of e-commerce ad that YouTube users can click to buy digital goods from Apple’s iTunes or Amazon.com.","Google Puts Tunes From YouTube a Click Away","Business","Apple"
"38",8,"2008-09-18T23:31:53+0000","The fall season feels well under way at Wightman’s Farms in Harding Township. They’re well stocked with pumpkins, squash, apples and, of course, sweet cider.","Apples, Pies and Mazes","Regionals","Apple"
"39",9,"2008-09-15T22:47:37+0000","In the next two weeks, a battered music industry, facing slumping CD sales and a bleak future, will help to introduce a new service, called MySpace Music.","A Jukebox on MySpace That Takes Aim at Apple","Business","Apple"
"40",10,"2008-09-10T13:20:24+0000","Apple's Steve Jobs discusses the company's new iPods, with CNBC's Jim Goldman.","Steve Jobs on Apple","","Apple"
"41",1,"2019-09-20T13:00:05+0000","If regulators and lawmakers are serious, they’re going to have to rethink a traditional approach to monopolies.","The Week in Tech: An Emerging Twist on Antitrust","Business","Apple"
"42",2,"2019-09-10T16:30:04+0000","The iPhone 11, Apple’s entry-level phone, will start at $700, compared with $750 for the comparable model last year.","Apple’s iPhone 11 Has a New Feature: A Lower Price","Business","Apple"
"43",3,"2019-09-17T23:13:22+0000","Senators at a hearing pushed for assurances that the F.T.C. and Justice Department would provide vigorous oversight of the companies.","Lawmakers Urge Aggressive Action From Regulators on Big Tech","Business","Apple"
