"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-11T13:47:08+0000","After a strike by workers and other production setbacks, Boeing confirmed it would push back deliveries of its new jet, the 787 Dreamliner, until the first quarter of 2010.","Boeing Delays Delivery of the 787 to 2010","Business","Boeing"
"2",2,"2008-12-06T01:00:42+0000","The first plane will not be delivered until 2010 at the earliest, nearly two years behind the original schedule, executives said.","New Boeing 787 Jetliner Faces Another Delay","Business","Boeing"
"3",3,"2008-12-13T21:40:17+0000","In French Guiana, a space base where the United States is the also-ran.","To the Heavens From the Jungle’s Edge","WeekInReview","Boeing"
"4",4,"2008-11-04T20:36:38+0000","In the latest setback for the new plane, the Boeing 787 will not make its first test flight this year because of delays caused by a strike of the machinists union, the airplane maker said.","Boeing Postpones Test Flight of the 787","Business","Boeing"
"5",5,"2008-10-28T03:30:01+0000","The Boeing Company and the machinists union may have a deal on a new contract that could end a 52-day strike.","Boeing and Union Reach Tentative Deal","Business","Boeing"
"6",6,"2008-10-28T15:06:37+0000","Members of the union that represents machinists at Boeing will begin voting later this week on the tentative agreement, reached Monday night.","Boeing Deal Includes a 15% Raise Over 4 Years","Business","Boeing"
"7",7,"2008-10-22T13:38:02+0000","Boeing said that its third-quarter net income dropped 38 percent because of a strike by machinists and supplier-related issues.","Earnings Drop 38% at Boeing as a Machinists’ Strike Wears On","Business","Boeing"
"8",8,"2008-10-14T02:02:03+0000","The Boeing Company, whose factories have been shut since its 27,000 machinists walked out on Sept. 6, said a new round of talks last weekend had failed.","Boeing’s Talks With Union Fail","Business","Boeing"
"9",9,"2008-10-09T03:04:44+0000","Negotiations are to resume, more than one month after the walkout began.","Boeing and Union Agree to Restart Talks","Business","Boeing"
"10",10,"2008-09-26T01:13:49+0000","There have been no negotiations between the aircraft manufacturer and the International Association of Machinists and Aerospace Workers since the strike began on Sept. 6.","Boeing Negotiations ‘at a Standstill’","Business","Boeing"
"11",1,"2008-09-10T01:30:15+0000","In struggling industries like automobiles and airlines, the bargaining power of unions has been limited by the weak positions of their employers. By contrast, Boeing is strong.","Boeing’s Strong Results Alter Strike Dynamics","Business","Boeing"
"12",2,"2008-09-05T15:13:23+0000","The strike, set to begin early Saturday, could potentially delay an important new aircraft, the Dreamliner.","Machinists Union at Boeing Says It Will Strike","Business","Boeing"
"13",3,"2008-09-06T19:56:23+0000","The union that represents 27,000 machinists in Washington State, Oregon and Kansas walked off the job as Boeing’s books are bulging with demand for its planes.","Boeing, With an Order Backlog, Is Hit by a Strike","Business","Boeing"
"14",4,"2008-09-02T19:32:47+0000","Union members are set to cast two votes that will determine whether they accept a new contract or strike at a crucial moment in the development of Boeing’s newest plane, the Dreamliner.","Boeing Awaits Machinists’ Contract Vote","Business","Boeing"
"15",5,"2008-09-05T08:04:09+0000","British air safety investigators said the Boeing 777 that crashed on approach to Heathrow Airport near London on Jan. 17 was “most probably” caused by ice in the fuel system.","Ice in Fuel Seen as Culprit in Jan. 17 Boeing 777 Crash","Foreign","Boeing"
"16",6,"2008-09-03T18:14:08+0000","Leader of the machinists’ union at Boeing agreed to return to the bargaining table early Thursday, just hours after union members voted to strike over contract negotiations.","After Strike Vote, Boeing Union Agrees to Resume Talks","Business","Boeing"
"17",7,"2008-08-30T04:24:19+0000","The Boeing Company’s largest union urged members to reject a contract offer next week and walk off the job in a strike that would shut production and may further delay the 787 Dreamliner.","Union Urges a Strike at Boeing","Business","Boeing"
"18",8,"2008-09-10T13:44:24+0000","A disputed decision about refueling tankers for the Air Force will wait until the next administration.","Pentagon Delays Decision on Air Force Tanker Contract","Business","Boeing"
"19",9,"2008-09-06T18:19:00+0000","Faith Popcorn, the trend-spotter, personifies the trends she’s spotting these days.","Walking the Walk, Tightening the Belt","SundayBusiness","Boeing"
"20",10,"2008-08-22T02:21:41+0000","The Boeing Company, seeking to win the reopened $35 billion Air Force tanker competition, said it needs more time to prepare its proposal.","Boeing Seeks More Time for Bid","Business","Boeing"
"21",1,"2008-07-15T04:00:00+0000","Sheik Ahmed bin Saeed Al-Maktoum, chairman of the Emirates Group, announced a $3.78 billion order for 54 Boeing 737-800 series jets, which he will use to start a low-fare airline, FlyDubai.","Dubai Sheik Buys Boeing Jets for New Airline","Business","Boeing"
"22",2,"2008-07-10T04:00:00+0000","A multibillion-dollar contract for refueling tankers will be reopened after a report found flaws in the original process.","Pentagon Gives Boeing New Chance at Contract","Business","Boeing"
"23",3,"2008-07-15T04:00:00+0000","Whatever the outcome of the reopened $35 billion competition for midair refueling tankers, there will be winners and losers on both sides of the Atlantic.","Air Tanker Contract Pits Airbus Against Boeing on Global Stage","Business","Boeing"
"24",4,"2008-08-01T04:00:00+0000","Despite a multiyear backlog of airplane orders at both Airbus and Boeing, aircraft manufacturers are seeing troubling signs among their customers.","High Fuel Costs Delay Airplane Orders","Business","Boeing"
"25",5,"2008-07-02T04:00:00+0000","Already facing a delay of at least 14 months on its new 787 Dreamliner aircraft, damage to the fourth of six test planes could have an effect on the full program.","Fuselage Damage May Slow Boeing","Business","Boeing"
"26",6,"2008-06-21T04:00:00+0000","Boeing said that tests on the 787 Dreamliner’s power systems were successful, putting the plane on schedule for its initial flight in the fourth quarter and delivery to customers next year.","Boeing’s Dreamliner Passes a Crucial Test","Business","Boeing"
"27",7,"2008-12-03T22:19:48+0000","The Broadway revival of “Boeing-Boeing” will play its final performance on Jan. 4.","‘Boeing-Boeing’ to Close","Culture","Boeing"
"28",8,"2008-02-15T05:00:00+0000","A revival of the 1960s farce will touch down at the Longacre Theater in April.","‘Boeing-Boeing’ Is Inbound","Weekend","Boeing"
"29",9,"2008-12-02T23:07:39+0000","“Boeing-Boeing,” the revival of Marc Camoletti’s comedy about an American architect juggling affairs with three European airline hostesses, will play its final performance on Jan. 4.","Broadway’s ‘Boeing-Boeing’ to Close","Culture","Boeing"
"30",10,"2008-07-20T04:00:00+0000","With jet fighters overhead, it was easy to be distracted at the Farnborough International Airshow last week. But for executives, there were distractions on the ground, too.","At an Air Show, Competing With the Roars and the Ringtones","SundayBusiness","Boeing"
"31",1,"2008-05-29T04:00:00+0000","Ahead of an expected W.T.O. ruling on subsides, European officials suggested this week that they would help finance the Airbus A350, the rival to the Boeing 787.","Ruling Near on Boeing-Airbus Dispute","Business","Boeing"
"32",2,"2008-07-17T04:00:00+0000","Airplane manufacturers are trying to bolster their green credentials by lauding initiatives to reduce the environmental impact of flying, as well as the cost.","The Wild Green Yonder","Business","Boeing"
"33",3,"2008-07-16T04:00:00+0000","Problems linked to the braking system of Boeing’s much-delayed 787 Dreamliner conspired with a dearth of new orders from Western airlines to darken the mood at the aerospace industry’s showcase event.","Brakes and Other Headaches at an Aircraft Show","Business","Boeing"
"34",4,"2008-04-24T04:00:00+0000","Boeing said its profits rose 38 percent, to $1.21 billion. General Dynamics said its net income jumped 32 percent, to $572 million.","Demand Lifts Boeing and General Dynamics","Business","Boeing"
"35",5,"2008-09-26T05:00:00+0000","","Boeing negotiations 'at a standstill'","IHT News","Boeing"
"36",6,"2008-04-10T04:00:00+0000","Boeing said that it was pushing back delivery of the first 787 to the third quarter of 2009, more than a year behind the original schedule.","Another Delivery Delay for Boeing’s Dreamliner","Business","Boeing"
"37",7,"2008-09-25T20:51:42+0000","Ivory Tower | Attention, U.S. News & World Report: Boeing is entering your airspace. With recruiting in mind, the aviation giant will rank colleges by crunching data on its 160,000 workers worldwide (including 35,000 engineers) and the schools the...","Boeing to Rank Colleges","","Boeing"
"38",8,"2008-01-16T05:00:00+0000","Boeing announced that it was delaying the first flight and deliveries of the 787 Dreamliner because of continued supply-chain problems.","Boeing Delays Dreamliner Again","Business","Boeing"
"39",9,"2008-03-11T17:30:40+0000","In a CNBC interview, Louis Gallois, chief executive of EADS, defends a $35 billion tanker contract with the United States Air Force.","EADS Responds to Boeing","","Boeing"
"40",10,"2008-07-12T04:00:00+0000","The Federal Aviation Administration said on Friday that it was altering a procedure for using perpendicular runways simultaneously.","2nd Landing Problem Spurs Change at J.F.K.","Metro","Boeing"
"41",1,"2008-03-11T17:30:40+0000","In a CNBC interview, Louis Gallois, chief executive of EADS, defends a $35 billion tanker contract with the United States Air Force.","EADS Responds to Boeing","","Boeing"
