"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-09-15T02:30:15+0000","A combined blow from Hurricanes Gustav and Ike has shut down almost all oil and natural gas production in the Gulf of Mexico and handicapped refinery operations in Texas and Louisiana.","Gas Prices Climb Quickly as Refineries Remain Closed","National","Chevron Corporation"
"2",2,"2008-07-11T04:00:00+0000","The Chevron Corporation said that second-quarter oil output fell to the lowest level since 2005 as record energy prices reduced the company’s share of output in countries like Nigeria and Indonesia.","Chevron Reports Oil Output Slips","Business","Chevron Corporation"
"3",3,"2008-05-29T16:49:11+0000","Boards are now seeing that their corporate image could be tarnished if political contributions or political activities go awry.","Corporations to Disclose Political Contributions","National","Chevron Corporation"
"4",4,"2008-07-01T05:00:00+0000","","Iraq sues companies over oil-for-food program","IHT News","Chevron Corporation"
"5",5,"2008-10-12T05:00:00+0000","","Iraq signs $3.5 billion deal for China to develop oil field","IHT News","Chevron Corporation"
"6",6,"2008-11-11T18:26:46+0000","The deal between Iraq’s state-owned oil company, North Oil, and China’s CNPC is worth $3.5 billion and is the first major deal since the U.S. invasion in 2003.","Iraq Signs $3.5 Billion Deal for China to Develop Oil Field","Foreign","Chevron Corporation"
"7",7,"2008-09-19T01:30:34+0000","Interior Secretary Dirk Kempthorne told a House committee that he might fire employees involved in ethics abuses at the agency, which collects oil and gas royalties.","Interior Secretary Says He May Fire Gift-Takers","Business","Chevron Corporation"
"8",8,"2008-02-27T05:00:00+0000","The Alaska Native coastal village of Kivalina is being forced to relocate because of flooding caused by the changing Arctic climate.","Flooded Village Files Suit, Citing Corporate Link to Climate Change","National","Chevron Corporation"
"9",9,"2008-05-19T04:00:00+0000","The financial squeeze was precipitated last summer when Archer Daniels Midland ended its 14-year sponsorship of the program.","Lehrer Says ‘News Hour’ Money Woes Are Worst Ever","Business","Chevron Corporation"
"10",10,"2008-09-10T23:49:24+0000","The plan to award six no-bid contracts to Western oil companies had come under sharp criticism from several U.S. senators over the summer.","Iraq Cancels Six No-Bid Oil Contracts","Foreign","Chevron Corporation"
"11",1,"2008-08-20T05:00:00+0000","","Iraq poised to revive oil contract with China","IHT News","Chevron Corporation"
"12",2,"2008-08-20T02:13:12+0000","The 11-year-old contract with China, worth $1.2 billion, is Iraq’s largest oil deal since the invasion in 2003, an Oil Ministry official said.","Iraq Poised to Revive Oil Contract With China","Foreign","Chevron Corporation"
"13",3,"2008-05-21T04:00:00+0000","Combing a social movement with a market opportunity, New Resource Bank offers customers financial incentives for green building projects.","A Movement and a Market Converge at a Bank","SpecialSections","Chevron Corporation"
"14",4,"2008-03-06T05:00:00+0000","","Iraq negotiating with U.S. and  European companies  over oil development","IHT News","Chevron Corporation"
"15",5,"2008-10-30T05:00:00+0000","","Exxon Mobil quarterly income hits $14.8 billion","IHT News","Chevron Corporation"
"16",6,"2008-04-22T05:00:00+0000","","U.S. oil firms want Libya exempted from terrorism compensation law","IHT News","Chevron Corporation"
"17",7,"2008-03-28T04:00:00+0000","In August, a Chinese antimonopoly law takes effect that will extend the nation’s economic influence far beyond its borders.","China Law Could Impede Microsoft Deal for Yahoo","Business","Chevron Corporation"
"18",8,"2008-03-28T05:00:00+0000","","China law could impede Microsoft deal for Yahoo","IHT News","Chevron Corporation"
"19",9,"2008-10-30T05:00:00+0000","","Exxon Mobil quarterly income hits $14.8 billion","IHT News","Chevron Corporation"
"20",10,"2008-12-04T05:00:00+0000","","State finds (or buys) some peace in Nigeria","IHT News","Chevron Corporation"
"21",1,"2008-10-30T05:00:00+0000","","Exxon Mobil quarterly income hits $14.8 billion","IHT News","Chevron Corporation"
"22",2,"2008-02-27T05:00:00+0000","","Flooded village files suit, citing corporate link to climate change","IHT News","Chevron Corporation"
"23",3,"2008-12-04T01:53:45+0000","Nigeria’s Delta State has accomplished a rare measure of peace by drawing militants into the government and making sure they are awarded valuable contracts from oil companies.","State Finds (or Buys) Some Peace in Nigeria","Foreign","Chevron Corporation"
"24",4,"2008-04-06T04:00:00+0000","Thirty-eight years ago, a city within a city opened in the Bronx.","Everything You Need, in One Giant Package","RealEstate","Chevron Corporation"
"25",5,"2008-05-18T04:00:00+0000","WHEN several major oil companies agreed earlier this month to pay nearly $424 million to settle a federal lawsuit brought by scores of water providers claiming damages from the gasoline additive M.T.B.E., one Long Island provider took the largest ...","Settlement Will Help Clean Suffolk Water","Regionals","Chevron Corporation"
"26",6,"2008-08-29T01:35:26+0000","The contract was the first major oil deal the Iraq government has made with a foreign country since 2003.","Iraq Signs Oil Deal With China Worth Up to $3 Billion","Foreign","Chevron Corporation"
"27",7,"2008-07-25T05:00:00+0000","","How the Cuban embargo protects the environment","IHT News","Chevron Corporation"
"28",8,"2008-03-28T05:00:00+0000","","China may pose hurdle to Microsoft's bid for Yahoo","IHT News","Chevron Corporation"
"29",9,"2008-11-12T10:54:30+0000","","Retail Worries Help Push Markets Lower","Business","Chevron Corporation"
"30",10,"2008-06-28T04:00:00+0000","The Dow briefly fell 20 percent below its October peak, the figure that is regarded as the start of a bear market.","Battered by Oil, Dow Touches Bear Territory","Business","Chevron Corporation"
"31",1,"2008-11-11T12:44:11+0000","A broad sell-off hit nearly every corner of Wall Street amid more signs that the economic slowdown was hurting retailers.","Retail Worries Help Push Markets Lower","Business","Chevron Corporation"
"32",2,"2008-06-28T04:00:00+0000","The Dow briefly fell 20 percent below its October peak, the figure that is regarded as the start of a bear market.","Battered by Oil, Dow Touches Bear Territory","Business","Chevron Corporation"
"33",3,"2008-08-19T02:37:58+0000","Though eager to expand, the major Western oil companies are finding it harder than ever to find new prospects.","As Oil Giants Lose Influence, Supply Drops","Business","Chevron Corporation"
"34",4,"2008-03-05T05:00:00+0000","","Iraq in talks with U.S. and European oil companies","IHT News","Chevron Corporation"
"35",5,"2008-10-24T10:54:02+0000","","Volatile Till the Close, Markets End on Upswing","Business","Chevron Corporation"
"36",6,"2008-11-15T20:31:40+0000","As the world begins to shun dirty fuels, an undaunted Exxon Mobil says oil will power economies for decades.","At Exxon, Making the Case for Oil","SundayBusiness","Chevron Corporation"
"37",7,"2008-04-22T04:00:00+0000","A string of oil deals with Libya might be jeopardized by a recent law that allows victims of state-sponsored terrorism to seize U.S.-held assets of those countries.","Libya Seeks Exemption for Its Debt to Victims","Foreign","Chevron Corporation"
"38",8,"2008-04-21T05:00:00+0000","","U.S. oil industry lobbying to exempt Libya from terror reparations","IHT News","Chevron Corporation"
"39",9,"2008-03-06T05:00:00+0000","Despite Iraq’s enormous reserves, global oil corporations have been reluctant to invest because of a lack of clarity among Iraqi politicians about how to develop the industry and how to share profits.","Iraq in Talks With American and European Companies to Develop 5 New Oil Fields","Foreign","Chevron Corporation"
"40",10,"2008-04-22T05:00:00+0000","","Oil industry works to soften terrorism victim law","IHT News","Chevron Corporation"
"41",1,"2008-10-30T12:21:48+0000","In what might be the high-water mark for corporate profits, Exxon Mobil reported quarterly income of $14.8 billion as oil prices hit a record this summer.","Exxon’s Profit Jumped to a Record in Quarter","Business","Chevron Corporation"
"42",2,"2008-10-17T05:00:00+0000","","U.S. stocks finish lower as Bush urges patience amid more signs of slowdown","IHT News","Chevron Corporation"
"43",3,"2008-10-17T05:00:00+0000","","U.S. stocks finish lower as Bush urges patience amid more signs of slowdown","IHT News","Chevron Corporation"
"44",4,"2008-08-01T04:00:00+0000","Record earnings for Exxon, the world’s largest publicly traded oil company, have become routine as the surge of oil prices in recent years has filled its coffers.","Exxon’s Second-Quarter Earnings Set a Record","Business","Chevron Corporation"
"45",5,"2008-05-08T04:00:00+0000","A dozen oil companies agreed to pay $423 million in cash plus clean-up costs to settle litigation over groundwater contamination from the gasoline additive, MTBE.","Oil Giants to Settle Water Suit","Business","Chevron Corporation"
"46",6,"2008-02-20T05:00:00+0000","Miuccia Prada turned lace into a holy and fetishistic enterprise, while Raf Simons of Jil Sander tested the structural foundations of minimalism.","What Does Simplicity Mean? It’s Complicated","Styles","Chevron Corporation"
"47",7,"2008-11-16T05:00:00+0000","","Exxon doesn't plan on ditching oil","IHT News","Chevron Corporation"
"48",8,"2008-03-14T05:00:00+0000","","Hopes are high, as are the hurdles, for alternative fuel","IHT News","Chevron Corporation"
"49",9,"2008-08-19T05:00:00+0000","","Energy majors awash in money but not oil","IHT News","Chevron Corporation"
"50",10,"2008-04-20T04:00:00+0000","Oil’s future is murky. With China and India rising, the supply question looms.","The Big Thirst","WeekInReview","Chevron Corporation"
"51",1,"2008-04-02T05:37:33+0000","","In Frontier Markets, Steely Nerves Required","Business","Chevron Corporation"
"52",2,"2008-04-02T04:00:00+0000","Bankers, investors and hedge fund managers are setting up shop in the far reaches of the world, convinced there are profits to be made in long-ignored areas.","In Frontier Markets, Steely Nerves Required","SpecialSections","Chevron Corporation"
"53",3,"2008-04-16T04:00:00+0000","As surely as Thanksgiving leads to turkey talk, the approach of the Jewish holiday of Passover calls attention to kosher wines.","You Don’t Have to Be Jewish to Love Them","Dining","Chevron Corporation"
"54",4,"2008-08-13T21:16:06+0000","The $5 billion fashion giant is being retooled in an entrepreneurial makeover (good luck, Isaac Mizrahi) that has Wall Street sweating bullets.","Can Liz Claiborne Get Its Groove Back?","TStyle","Chevron Corporation"
"55",5,"2008-06-01T04:00:00+0000","Recent books about automobiles offer everything from an armchair tour of dream garages to a history of Henry Ford’s Model T.","Road Maps to Automotive Adventures","Automobiles","Chevron Corporation"
"56",6,"2008-01-28T15:57:00+0000","Automobiles Editor James G. Cobb is answering questions Jan.  28-Feb.1.","Talk to the Newsroom: <br>Automobiles Editor James G. Cobb
","Business","Chevron Corporation"
"57",1,"2008-09-15T02:30:15+0000","A combined blow from Hurricanes Gustav and Ike has shut down almost all oil and natural gas production in the Gulf of Mexico and handicapped refinery operations in Texas and Louisiana.","Gas Prices Climb Quickly as Refineries Remain Closed","National","Chevron Corporation"
"58",2,"2008-07-11T04:00:00+0000","The Chevron Corporation said that second-quarter oil output fell to the lowest level since 2005 as record energy prices reduced the company’s share of output in countries like Nigeria and Indonesia.","Chevron Reports Oil Output Slips","Business","Chevron Corporation"
"59",3,"2008-05-29T16:49:11+0000","Boards are now seeing that their corporate image could be tarnished if political contributions or political activities go awry.","Corporations to Disclose Political Contributions","National","Chevron Corporation"
"60",4,"2008-07-01T05:00:00+0000","","Iraq sues companies over oil-for-food program","IHT News","Chevron Corporation"
"61",5,"2008-10-12T05:00:00+0000","","Iraq signs $3.5 billion deal for China to develop oil field","IHT News","Chevron Corporation"
"62",6,"2008-11-11T18:26:46+0000","The deal between Iraq’s state-owned oil company, North Oil, and China’s CNPC is worth $3.5 billion and is the first major deal since the U.S. invasion in 2003.","Iraq Signs $3.5 Billion Deal for China to Develop Oil Field","Foreign","Chevron Corporation"
"63",7,"2008-02-27T05:00:00+0000","The Alaska Native coastal village of Kivalina is being forced to relocate because of flooding caused by the changing Arctic climate.","Flooded Village Files Suit, Citing Corporate Link to Climate Change","National","Chevron Corporation"
"64",8,"2008-09-19T01:30:34+0000","Interior Secretary Dirk Kempthorne told a House committee that he might fire employees involved in ethics abuses at the agency, which collects oil and gas royalties.","Interior Secretary Says He May Fire Gift-Takers","Business","Chevron Corporation"
"65",9,"2008-09-10T23:49:24+0000","The plan to award six no-bid contracts to Western oil companies had come under sharp criticism from several U.S. senators over the summer.","Iraq Cancels Six No-Bid Oil Contracts","Foreign","Chevron Corporation"
"66",10,"2008-05-19T04:00:00+0000","The financial squeeze was precipitated last summer when Archer Daniels Midland ended its 14-year sponsorship of the program.","Lehrer Says ‘News Hour’ Money Woes Are Worst Ever","Business","Chevron Corporation"
"67",1,"2008-08-20T05:00:00+0000","","Iraq poised to revive oil contract with China","IHT News","Chevron Corporation"
"68",2,"2008-08-20T02:13:12+0000","The 11-year-old contract with China, worth $1.2 billion, is Iraq’s largest oil deal since the invasion in 2003, an Oil Ministry official said.","Iraq Poised to Revive Oil Contract With China","Foreign","Chevron Corporation"
"69",3,"2008-05-21T04:00:00+0000","Combing a social movement with a market opportunity, New Resource Bank offers customers financial incentives for green building projects.","A Movement and a Market Converge at a Bank","SpecialSections","Chevron Corporation"
"70",4,"2008-03-06T05:00:00+0000","","Iraq negotiating with U.S. and  European companies  over oil development","IHT News","Chevron Corporation"
"71",5,"2008-10-30T05:00:00+0000","","Exxon Mobil quarterly income hits $14.8 billion","IHT News","Chevron Corporation"
"72",6,"2008-04-22T05:00:00+0000","","U.S. oil firms want Libya exempted from terrorism compensation law","IHT News","Chevron Corporation"
"73",7,"2008-03-28T04:00:00+0000","In August, a Chinese antimonopoly law takes effect that will extend the nation’s economic influence far beyond its borders.","China Law Could Impede Microsoft Deal for Yahoo","Business","Chevron Corporation"
"74",8,"2008-03-28T05:00:00+0000","","China law could impede Microsoft deal for Yahoo","IHT News","Chevron Corporation"
"75",9,"2008-12-04T05:00:00+0000","","State finds (or buys) some peace in Nigeria","IHT News","Chevron Corporation"
"76",10,"2008-10-30T05:00:00+0000","","Exxon Mobil quarterly income hits $14.8 billion","IHT News","Chevron Corporation"
"77",1,"2008-11-04T05:00:00+0000","","Nigerian state pays for peace in oil fields","IHT News","Chevron Corporation"
"78",2,"2008-02-27T05:00:00+0000","","Flooded village files suit, citing corporate link to climate change","IHT News","Chevron Corporation"
"79",3,"2008-12-04T01:53:45+0000","Nigeria’s Delta State has accomplished a rare measure of peace by drawing militants into the government and making sure they are awarded valuable contracts from oil companies.","State Finds (or Buys) Some Peace in Nigeria","Foreign","Chevron Corporation"
"80",4,"2008-05-18T04:00:00+0000","WHEN several major oil companies agreed earlier this month to pay nearly $424 million to settle a federal lawsuit brought by scores of water providers claiming damages from the gasoline additive M.T.B.E., one Long Island provider took the largest ...","Settlement Will Help Clean Suffolk Water","Regionals","Chevron Corporation"
"81",5,"2008-04-06T04:00:00+0000","Thirty-eight years ago, a city within a city opened in the Bronx.","Everything You Need, in One Giant Package","RealEstate","Chevron Corporation"
"82",6,"2008-08-29T01:35:26+0000","The contract was the first major oil deal the Iraq government has made with a foreign country since 2003.","Iraq Signs Oil Deal With China Worth Up to $3 Billion","Foreign","Chevron Corporation"
"83",7,"2008-07-25T05:00:00+0000","","How the Cuban embargo protects the environment","IHT News","Chevron Corporation"
"84",8,"2008-03-28T05:00:00+0000","","China may pose hurdle to Microsoft's bid for Yahoo","IHT News","Chevron Corporation"
"85",9,"2008-11-12T10:54:30+0000","","Retail Worries Help Push Markets Lower","Business","Chevron Corporation"
"86",10,"2008-10-23T01:59:00+0000","The day’s gyrations underscored the market’s volatility amid continued concerns of a deep recession.","Volatile Till the Close, Markets End on Upswing","Business","Chevron Corporation"
"87",1,"2008-06-28T04:00:00+0000","The Dow briefly fell 20 percent below its October peak, the figure that is regarded as the start of a bear market.","Battered by Oil, Dow Touches Bear Territory","Business","Chevron Corporation"
"88",2,"2008-10-23T01:59:00+0000","The day’s gyrations underscored the market’s volatility amid continued concerns of a deep recession.","Volatile Till the Close, Markets End on Upswing","Business","Chevron Corporation"
"89",3,"2008-10-24T10:54:02+0000","","Volatile Till the Close, Markets End on Upswing","Business","Chevron Corporation"
"90",4,"2008-03-05T05:00:00+0000","","Iraq in talks with U.S. and European oil companies","IHT News","Chevron Corporation"
"91",5,"2008-11-15T20:31:40+0000","As the world begins to shun dirty fuels, an undaunted Exxon Mobil says oil will power economies for decades.","At Exxon, Making the Case for Oil","SundayBusiness","Chevron Corporation"
"92",6,"2008-08-19T02:37:58+0000","Though eager to expand, the major Western oil companies are finding it harder than ever to find new prospects.","As Oil Giants Lose Influence, Supply Drops","Business","Chevron Corporation"
"93",7,"2008-04-22T04:00:00+0000","A string of oil deals with Libya might be jeopardized by a recent law that allows victims of state-sponsored terrorism to seize U.S.-held assets of those countries.","Libya Seeks Exemption for Its Debt to Victims","Foreign","Chevron Corporation"
"94",8,"2008-04-21T05:00:00+0000","","U.S. oil industry lobbying to exempt Libya from terror reparations","IHT News","Chevron Corporation"
"95",9,"2008-03-06T05:00:00+0000","Despite Iraq’s enormous reserves, global oil corporations have been reluctant to invest because of a lack of clarity among Iraqi politicians about how to develop the industry and how to share profits.","Iraq in Talks With American and European Companies to Develop 5 New Oil Fields","Foreign","Chevron Corporation"
"96",10,"2008-04-22T05:00:00+0000","","Oil industry works to soften terrorism victim law","IHT News","Chevron Corporation"
"97",1,"2008-10-30T12:21:48+0000","In what might be the high-water mark for corporate profits, Exxon Mobil reported quarterly income of $14.8 billion as oil prices hit a record this summer.","Exxon’s Profit Jumped to a Record in Quarter","Business","Chevron Corporation"
"98",2,"2008-10-17T05:00:00+0000","","U.S. stocks finish lower as Bush urges patience amid more signs of slowdown","IHT News","Chevron Corporation"
"99",3,"2008-10-17T05:00:00+0000","","U.S. stocks finish lower as Bush urges patience amid more signs of slowdown","IHT News","Chevron Corporation"
"100",4,"2008-08-01T04:00:00+0000","Record earnings for Exxon, the world’s largest publicly traded oil company, have become routine as the surge of oil prices in recent years has filled its coffers.","Exxon’s Second-Quarter Earnings Set a Record","Business","Chevron Corporation"
"101",5,"2008-05-08T04:00:00+0000","A dozen oil companies agreed to pay $423 million in cash plus clean-up costs to settle litigation over groundwater contamination from the gasoline additive, MTBE.","Oil Giants to Settle Water Suit","Business","Chevron Corporation"
"102",6,"2008-02-20T05:00:00+0000","Miuccia Prada turned lace into a holy and fetishistic enterprise, while Raf Simons of Jil Sander tested the structural foundations of minimalism.","What Does Simplicity Mean? It’s Complicated","Styles","Chevron Corporation"
"103",7,"2008-11-16T05:00:00+0000","","Exxon doesn't plan on ditching oil","IHT News","Chevron Corporation"
"104",8,"2008-03-14T05:00:00+0000","","Hopes are high, as are the hurdles, for alternative fuel","IHT News","Chevron Corporation"
"105",9,"2008-08-19T05:00:00+0000","","Energy majors awash in money but not oil","IHT News","Chevron Corporation"
"106",10,"2008-04-20T04:00:00+0000","Oil’s future is murky. With China and India rising, the supply question looms.","The Big Thirst","WeekInReview","Chevron Corporation"
"107",1,"2008-04-02T05:37:33+0000","","In Frontier Markets, Steely Nerves Required","Business","Chevron Corporation"
"108",2,"2008-04-02T04:00:00+0000","Bankers, investors and hedge fund managers are setting up shop in the far reaches of the world, convinced there are profits to be made in long-ignored areas.","In Frontier Markets, Steely Nerves Required","SpecialSections","Chevron Corporation"
"109",3,"2008-04-16T04:00:00+0000","As surely as Thanksgiving leads to turkey talk, the approach of the Jewish holiday of Passover calls attention to kosher wines.","You Don’t Have to Be Jewish to Love Them","Dining","Chevron Corporation"
"110",4,"2008-08-13T21:16:06+0000","The $5 billion fashion giant is being retooled in an entrepreneurial makeover (good luck, Isaac Mizrahi) that has Wall Street sweating bullets.","Can Liz Claiborne Get Its Groove Back?","TStyle","Chevron Corporation"
"111",5,"2008-06-01T04:00:00+0000","Recent books about automobiles offer everything from an armchair tour of dream garages to a history of Henry Ford’s Model T.","Road Maps to Automotive Adventures","Automobiles","Chevron Corporation"
"112",6,"2008-01-28T15:57:00+0000","Automobiles Editor James G. Cobb is answering questions Jan.  28-Feb.1.","Talk to the Newsroom: <br>Automobiles Editor James G. Cobb
","Business","Chevron Corporation"
"113",1,"2008-09-15T02:30:15+0000","A combined blow from Hurricanes Gustav and Ike has shut down almost all oil and natural gas production in the Gulf of Mexico and handicapped refinery operations in Texas and Louisiana.","Gas Prices Climb Quickly as Refineries Remain Closed","National","Chevron Corporation"
"114",2,"2008-07-11T04:00:00+0000","The Chevron Corporation said that second-quarter oil output fell to the lowest level since 2005 as record energy prices reduced the company’s share of output in countries like Nigeria and Indonesia.","Chevron Reports Oil Output Slips","Business","Chevron Corporation"
"115",3,"2008-05-29T16:49:11+0000","Boards are now seeing that their corporate image could be tarnished if political contributions or political activities go awry.","Corporations to Disclose Political Contributions","National","Chevron Corporation"
"116",4,"2008-07-01T05:00:00+0000","","Iraq sues companies over oil-for-food program","IHT News","Chevron Corporation"
"117",5,"2008-10-12T05:00:00+0000","","Iraq signs $3.5 billion deal for China to develop oil field","IHT News","Chevron Corporation"
