"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-29T01:21:32+0000","The dominant provider of the digital pipes that run the Internet is making a big play in digital entertainment.","With a Digital Stereo, Cisco Systems Is Starting a Push Into Home Electronics","Business","Cisco"
"2",2,"2008-11-06T19:02:25+0000","A look at the networking giant's better than expected results and outlook, with John Chambers, Cisco chairman and C.E.O.","Cisco Earnings","","Cisco"
"3",3,"2008-11-05T21:32:51+0000","The company announced first-quarter net income of $2.2 billion, edging past Wall Street expectations.","Cisco Systems Slightly Tops Expectations","Business","Cisco"
"4",4,"2008-11-15T02:45:11+0000","In the span of a few weeks, orders for technology products have collapsed and workers have been laid off.","Tech Companies, Long Insulated, Now Feel Slump","Business","Cisco"
"5",5,"2008-10-23T05:27:29+0000","Andreas von Bechtolsheim is resigning as chief architect of Sun Microsystems to focus on a start-up that is challenging another industry giant, Cisco Systems.","Sun Loses Co-Founder to Start-Up","Business","Cisco"
"6",6,"2008-09-24T01:31:56+0000","These days, Cisco is peddling e-mail software, video conferencing systems, cable TV boxes, and other products known as unified communications.","Cisco Tries to Break Out of the Data Center Role","Business","Cisco"
"7",7,"2008-09-27T18:28:05+0000","In industries from technology to finance to sales, nonassigned work spaces — also known as nonterritorial work spaces, mobile platforms and hot desks — are gaining popularity.","The Anywhere, Anytime Office","SundayBusiness","Cisco"
"8",8,"2008-08-05T20:25:50+0000","Cisco Systems, the largest maker of networking equipment, reported that its net income in the fourth quarter rose 4.4 percent, to $2 billion, from a year ago.","Cisco Sales Rise, Despite Concerns","Business","Cisco"
"9",9,"2008-05-07T14:26:04+0000","Earnings results and a company outlook with John Chambers, Cisco chairman and C.E.O.","Cisco Beats the Street","","Cisco"
"10",10,"2008-05-07T04:00:00+0000","Cisco, a bellwether stock for the technology industry, reported that net income in the third quarter declined 5.4 percent, to $1.8 billion, but that revenue rose 10 percent.","Revenue Up, but Income Falls at Cisco","Business","Cisco"
"11",1,"2008-05-07T05:00:00+0000","","Cisco's earnings beat expectations","IHT News","Cisco"
"12",2,"2008-05-07T04:00:00+0000","Cisco, a bellwether stock for the technology industry, reported that net income in the third quarter declined 5.4 percent, to $1.8 billion, but that revenue rose 10 percent.","Revenue Up, but Income Falls at Cisco","Business","Cisco"
"13",3,"2008-01-09T13:42:50+0000","Ever wonder who buys those big, big TVs? Ever wonder if they ever get used?","Too Much TV for Cisco","Business","Cisco"
"14",4,"2008-01-09T12:20:58+0000","","Cisco Systems Connects With SoonR","Business","Cisco"
"15",5,"2008-11-29T05:00:00+0000","","Cisco wants to entertain you","IHT News","Cisco"
"16",6,"2008-07-02T10:35:28+0000","","Cisco Invests in Russian Fund","Business","Cisco"
