"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-11-18T07:24:40+0000","The Australian brewer Lion Nathan made a hostile bid of 7.6 billion Australian dollars ($4.91 billion), for the soft drinks distributor Coca-Cola Amatil.","Australia: Hostile Bid Made for Coca-Cola Unit","Business","Coca-Cola"
"2",2,"2008-11-19T01:38:58+0000","Port Morris in the South Bronx is one of the few industrial areas of New York City that are flourishing.","An Island of Industry","Business","Coca-Cola"
"3",3,"2008-09-23T22:06:36+0000","TerraCycle makes tote bags, pencil cases and other products from juice boxes and candy wrappers, then sells them at some of the country’s biggest retailers.","Kept Out of Landfills and Reborn as a Bag","SpecialSections","Coca-Cola"
"4",4,"2008-09-13T00:14:40+0000","The recent agreement to pay $2.5 billion for China Huiyuan Juice chisels away at Coke’s dependence on carbonated drinks and expands the company’s presence in a huge, fast-growing economy.","China Deal Draws Praise for Coke","Business","Coca-Cola"
"5",5,"2008-09-03T07:15:23+0000","The Coca-Cola Company said it had made a bid to acquire one of China’s largest juice makers for about $2.5 billion.","Coke Bids for Chinese Juice Giant","Business","Coca-Cola"
"6",6,"2008-08-31T21:35:45+0000","Changes in a loyalty program for Coke drinkers has upset some collectors of bottle-cap codes.","Is a Coke Promotion Betraying Its Loyalists?","Business","Coca-Cola"
"7",7,"2008-08-23T01:42:17+0000","Coca-Cola looks back at the glory of winning Olympic gold.","Coke and Winning Olympic Gold","","Coca-Cola"
"8",8,"2008-09-03T16:05:14+0000","At least initially, the stock market seemed less than impressed with Coca-Cola's $2.4 billion acquisition of the Chinese juice maker Huiyuan. In late-morning trading Wednesday, shares of the Atlanta-based drink maker were down slightly. But while ...","Coca-Cola’s Coup in China","None","Coca-Cola"
"9",9,"2008-09-03T16:05:14+0000","","Coca-Cola’s Coup in China","Business","Coca-Cola"
"10",10,"2008-08-11T21:30:23+0000","Even for alumni, the ability to cash in on one’s former fame comes only once every four years, because corporate sponsors prefer to work with athletes when their signature sports are in the news.","For Retired Olympians, Marketing Is the Game","Business","Coca-Cola"
"11",1,"2008-08-06T20:26:58+0000","For more than a century, Coke has fiercely guarded its recipe. But in an advertising campaign introduced last month in Britain, the company divulged a few facts.","Campaign Reveals Just a Little Bit of Coke’s Secret Formula","Business","Coca-Cola"
"12",2,"2008-10-16T05:00:00+0000","","Coca-Cola beats profit forecast","IHT News","Coca-Cola"
"13",3,"2008-11-17T05:00:00+0000","","Hostile bidder targets Coca-Cola in Australia","IHT News","Coca-Cola"
"14",4,"2008-11-17T11:36:10+0000","","Lion Nathan Thirsty for Coca-Cola Amatil","Business","Coca-Cola"
"15",5,"2008-04-17T04:00:00+0000","As one of the most prominent sponsors of the Olympics, Coca-Cola found itself on the hot seat on Wednesday at its annual shareholder meeting.","Coca-Cola Faces Critics of Its Olympics Support","Business","Coca-Cola"
"16",6,"2008-02-22T20:48:59+0000","","Coca-Cola Says It Won’t Rely on Deals for Growth","Business","Coca-Cola"
"17",7,"2008-04-16T05:00:00+0000","","Latin America and Russia lift Coca-Cola earnings","IHT News","Coca-Cola"
"18",8,"2008-04-17T05:00:00+0000","","Olympic protests put Coca-Cola in a quandary","IHT News","Coca-Cola"
"19",9,"2008-09-10T05:00:00+0000","","Coca-Cola's bid for Huiyuan may set a precedent","IHT News","Coca-Cola"
"20",10,"2008-05-13T12:11:05+0000","","Coca-Cola Seeks Small Deals to Augment Growth","Business","Coca-Cola"
"21",1,"2008-01-16T05:00:00+0000","An environmental group says a Coca-Cola bottling plant in the drought-stricken state of Rajasthan is depleting scarce water supplies.","Coca-Cola Urged to Close an Indian Plant to Save Water","Business","Coca-Cola"
"22",2,"2008-01-05T05:00:00+0000","","Coca-Cola asked to shut Indian plant to save water","IHT News","Coca-Cola"
"23",3,"2008-04-16T05:00:00+0000","","Coca-Cola profit climbs 19% as sales soar overseas","IHT News","Coca-Cola"
"24",4,"2008-09-10T10:16:48+0000","","Coca-Cola to Seek Approval from China on Juice Deal","Business","Coca-Cola"
"25",5,"2008-09-29T10:41:38+0000","","Coca-Cola’s Chinese Deal Seen as Litmus Test for M&A","Business","Coca-Cola"
"26",6,"2008-02-06T11:33:12+0000","","Coca-Cola Brews $40 Million Deal for Stake in Honest Tea","Business","Coca-Cola"
"27",7,"2008-07-26T04:00:00+0000","Donald R. Keough, a former top executive at the Coca-Cola Company, has turned his speech about how to fail in business — using the example of his own failure with New Coke — into a book.","How to Fail in Business, a Guide to Success","Business","Coca-Cola"
