"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-29T00:29:56+0000","The multibillion-dollar joint venture fell victim to the financial crisis and the collapse of oil prices.","Kuwait Scuttles Venture With Dow Chemical","Business","Dow"
"2",2,"2008-12-31T15:52:11+0000","Stocks were higher on the last trading day of the year.","Oil Prices Rise on Inventory Report","Business","Dow"
"3",3,"2008-12-26T18:26:34+0000","Michael Wolff attacks Rupert Murdoch with casual delight in this portrait of the media titan and his quest to buy The Wall Street Journal.","Plowing Through the Door","BookReview","Dow"
"4",4,"2008-12-16T03:57:06+0000","Though it may count as a corporate finance achievement, Rupert Murdoch’s gambit for Dow Jones has played out poorly for his investors.","Murdoch Investors Are Groaning","Business","Dow"
"5",5,"2008-12-19T14:59:59+0000","Shares rose after President Bush announced government loans for G.M. and Chrysler, but then gave back most of their gains, ending mixed.","Stocks Jump, Then Slide Back, After Auto Bailout","Business","Dow"
"6",6,"2008-12-08T08:20:53+0000","Wall Street extended a global rally amid redoubled efforts to try to revive the economy, including signs that the government will bail out Detroit’s troubled automakers.","Wall Street Surges on Stimulus Hopes","Business","Dow"
"7",7,"2008-11-26T10:28:04+0000","Wall Street held onto gains for a fourth day after weathering a series of discouraging economic reports.","Stocks Post Their Fourth Straight Increase","Business","Dow"
"8",8,"2008-12-05T15:47:06+0000","The market moved higher in the afternoon, led by financial stocks, as Wall Street looked past the worst job losses since 1974.","Shares Surge Despite Heavy Job Losses","Business","Dow"
"9",9,"2008-12-04T15:24:49+0000","Oil prices closed down $3 a barrel to $43.67 as the economy slowed and demand eased.","Energy Sector Suffers as Oil Falls to the Lowest Level in 4 Years","Business","Dow"
"10",10,"2008-11-24T05:03:58+0000","A rescue plan for Citigroup turned into a boon for Wall Street. The Dow rose nearly 400 points, and the S.&P. was up 6.47 percent.","Markets Surge for a Second Day; Dow Up Nearly 400","Business","Dow"
"11",1,"2008-12-02T04:57:51+0000","Wall Street mounted a modest recovery on Tuesday, gaining back nearly half of the enormous collapse that had seemed to bode badly for this week.","Wall St. Partially Recovers From Sell-Off","Business","Dow"
