"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-05-27T15:56:33+0000","CNBC's Larry Kudlow discusses the Rockefellers' call for ExxonMobil to move into alternative energy with a panel of analysts and reporters.","Rockefellers Take on ExxonMobil","","ExxonMobil"
"2",2,"2008-06-03T17:56:09+0000","","ExxonMobil Resumes Its PBS Sponsorship","Media","ExxonMobil"
"3",3,"2008-05-27T12:49:34+0000","","Rockefellers Seek Change at ExxonMobil","Business","ExxonMobil"
"4",4,"2008-09-04T13:16:49+0000","","Tightening Up on How ExxonMobil Promotes Its Gas Business","","ExxonMobil"
"5",5,"2008-07-25T05:00:00+0000","","ExxonMobil and BHP approve $1.4 billion energy project in Australia","IHT News","ExxonMobil"
"6",6,"2008-05-22T05:00:00+0000","","ExxonMobil to begin engineering work on $11 billion LNG project","IHT News","ExxonMobil"
"7",7,"2008-07-27T04:00:00+0000","Environmentalists are protesting the advertising relationship between the Washington Nationals and ExxonMobil.","Baseball Team Clashes With Environmentalists Over Oil Company Advertising","National","ExxonMobil"
"8",8,"2008-11-03T05:00:00+0000","","Oil falls as market shrugs off Chávez threat","IHT News","ExxonMobil"
"9",9,"2008-02-27T05:00:00+0000","","Alaskan village files suit against energy companies","IHT News","ExxonMobil"
"10",10,"2008-06-05T04:00:00+0000","After a four-year absence,ExxonMobil will resume sponsorships of PBS programs this month, PBS announced. ExxonMobil will partly underwrite the news program “Nightly Business Report” and the science program “Nova” through the end of 2008. The compa...","PBS Gains Sponsors","Culture","ExxonMobil"
"11",1,"2008-03-24T10:58:07+0000","","Carlyle and K.K.R. Said to Eye U.K.’s Infineum","Business","ExxonMobil"
"12",2,"2008-03-05T23:11:36+0000","CNBC interviews Rex Tillerson, ExxonMobil's chief executive, about meeting the world's growing demand for energy.","Exxon Chief Discusses Oil Prices","","ExxonMobil"
"13",3,"2008-08-28T02:50:54+0000","The Environmental Protection Agency has agreed to develop a plan that could lead to Newtown Creek’s being named a federal Superfund site.","U.S. Officials Will Review Pollution in Waterway","Metro","ExxonMobil"
"14",4,"2008-06-25T18:45:02+0000","Supreme Court cuts Exxon Valdez punitive damages to $500 million.","What Does Exxon Owe Alaskans? 1994: $5 Billion; 2006: $2.5 Billion; Today: $0.5 Billion…","OpEd","ExxonMobil"
"15",5,"2008-12-03T11:24:13+0000","Philanthropy | Never mind ExxonMobil’s image-burnishing ads during the Olympics; when it comes to charity, Big Oil is a “big cheapskate,” a consultant says. “Annual donations by the Big Three oil companies as measured by a percent of pretax net in...","Cheap Oil","","ExxonMobil"
"16",6,"2008-11-03T05:00:00+0000","","Energy agency cuts 2008 demand forecast","IHT News","ExxonMobil"
"17",7,"2008-10-24T17:46:53+0000","","Falling Oil Prices Could Ignite Deal-Making","Business","ExxonMobil"
"18",8,"2008-04-21T10:51:33+0000","","Investors Pile on to Esso I.P.O.","Business","ExxonMobil"
"19",9,"2008-08-25T16:49:14+0000","A federal Superfund designation could accelerate long-stalled cleanup efforts in the polluted, oil-slicked estuary between Queens and Brooklyn.","E.P.A. to Conduct Newtown Creek Tests","None","ExxonMobil"
"20",10,"2008-08-25T16:49:14+0000","A federal Superfund designation could accelerate long-stalled cleanup efforts in the polluted, oil-slicked estuary between Queens and Brooklyn.","E.P.A. Will Review Pollution at Newtown Creek","Metro","ExxonMobil"
"21",1,"2008-07-31T18:17:10+0000","","Even Big Oil Feels the Price Pinch","Business","ExxonMobil"
"22",2,"2008-03-06T05:00:00+0000","The Federal Court of Canada has ordered an environmental review panel to take a second look at the greenhouse gas implications of oil sands project in Alberta.","Court Questions Planned Oil Project in Canada","Business","ExxonMobil"
"23",3,"2008-03-05T05:00:00+0000","","Oil hits record as OPEC rebuffs Bush on output","IHT News","ExxonMobil"
"24",4,"2008-05-09T18:34:06+0000","","Duking It Out at the Yard","Business","ExxonMobil"
"25",5,"2008-03-05T05:00:00+0000","","Oil hits $104 as OPEC rebuffs Bush","IHT News","ExxonMobil"
"26",6,"2008-03-05T05:00:00+0000","Oil prices reached a new record as OPEC refused to increase its production, blaming speculators and mismanagement of the U.S. economy for high prices.","Oil Hits $104 as OPEC Rebuffs Bush","Business","ExxonMobil"
"27",7,"2008-02-19T05:00:00+0000","","Wal-Mart report lifts U.S. stocks","IHT News","ExxonMobil"
"28",8,"2008-10-08T18:19:25+0000","Along with numerous organizations eager to promote market–based mechanisms like carbon trading, there also are conservation groups at the World Conservation Congress who are working closely with businesses to help them avoid grave environmental er...","User-Friendly Databases Make Conservation Easier for Business","","ExxonMobil"
"29",9,"2008-06-26T04:00:00+0000","The Supreme Court reduced what had once been a $5 billion punitive damages award against ExxonMobil to about $500 million.","Justices Cut Damages Award in Exxon Valdez Spill","ContinuousNews","ExxonMobil"
"30",10,"2008-06-25T05:00:00+0000","","U.S. Supreme Court cuts damages award in Exxon Valdez spill","IHT News","ExxonMobil"
"31",1,"2008-05-12T05:00:00+0000","","U.S. Supreme Court won't rule on apartheid case","IHT News","ExxonMobil"
"32",2,"2008-10-08T18:19:25+0000","Along with numerous organizations eager to promote market–based mechanisms like carbon trading, there also are conservation groups at the World Conservation Congress who are working closely with businesses to help them avoid grave environmental er...","User-Friendly Databases Make Conservation Easier for Business","","ExxonMobil"
"33",3,"2008-06-26T05:00:00+0000","","Justice and decency in the face of horror","IHT News","ExxonMobil"
"34",4,"2008-01-27T05:00:00+0000","FEDERAL approval for the liquefied natural gas plant that Broadwater Energy has proposed for Long Island Sound got closer this month when the Federal Energy Regulatory Commission staff concluded that the project, with 86 recommended changes, would...","Long Island Sound Proposal Awaits Crucial Ruling","Regionals","ExxonMobil"
"35",5,"2008-01-27T05:00:00+0000","FEDERAL approval for the liquefied natural gas plant that Broadwater Energy has proposed for Long Island Sound got closer this month when the Federal Energy Regulatory Commission staff concluded that the project, with 86 recommended changes, would...","Long Island Sound Proposal Awaits Crucial Ruling","Regionals","ExxonMobil"
"36",6,"2008-09-05T18:08:49+0000","","A Big Year for Small Energy Deals","Business","ExxonMobil"
"37",7,"2008-09-30T00:42:23+0000","As a gasoline shortage in Florida, Georgia and Tennessee has dragged into its second week, drivers have gone from mild annoyance to deep frustration.","Frustration in the South as a Gasoline Shortage Drags On","National","ExxonMobil"
"38",8,"2008-05-23T05:00:00+0000","","Halliburton in bidding war for oil drilling firm","IHT News","ExxonMobil"
"39",9,"2008-09-09T10:38:28+0000","","BG Abandons Bid for Origin","Business","ExxonMobil"
"40",10,"2008-09-09T05:00:00+0000","","VENEZUELA: Nationalizations drive FDI fears","IHT News","ExxonMobil"
"41",1,"2008-09-09T10:38:28+0000","","BG Abandons Bid for Origin","Business","ExxonMobil"
"42",2,"2008-08-20T05:00:00+0000","","Iraq seeks to revive oil deal with China reached under Saddam","IHT News","ExxonMobil"
"43",3,"2008-02-19T05:00:00+0000","Crude oil vaulted through a psychological barrier amid concern about whether production can keep up with rising global demand.","Oil Closes Above $100 for First Time","Business","ExxonMobil"
"44",4,"2008-08-20T05:00:00+0000","","Iraq poised to revive oil contract with China","IHT News","ExxonMobil"
"45",5,"2008-05-12T05:00:00+0000","","Justices won't hear apartheid suit","IHT News","ExxonMobil"
