"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-11-08T03:07:18+0000","Apple’s new executive may have violated an agreement with his former employer, I.B.M., a New York judge ruled.","Judge Says Apple Executive Must Cease Working","Business","IBM"
"2",2,"2008-11-06T05:08:34+0000","The company’s chief executive is proposing a technology-fueled recovery plan that calls for investment in more efficient systems.","I.B.M. Has Tech Answer for Woes of Economy","Business","IBM"
"3",3,"2008-11-04T14:51:54+0000","Apple said that it planned to hire Mark Papermaster to run its iPod and iPhone hardware engineering groups.","Apple Hires I.B.M. Veteran as Device Engineer","Business","IBM"
"4",4,"2008-10-31T01:47:25+0000","I.B.M. sued Mark Papermaster, one of its top executives , on Thursday in an attempt to prevent him from taking a position at Apple.","I.B.M. Sues to Block Executive’s Move to Apple","Business","IBM"
"5",5,"2008-10-24T03:49:21+0000","An elaborate $80 million system that was supposed to be ready in September has been unavailable, and 21 principals have turned to a program created at a Brooklyn high school to track progress.","As Schools Face Cuts, Delays on Data System Bring More Frustration","Metro","IBM"
"6",6,"2008-10-08T23:01:52+0000","I.B.M. said its third-quarter net income rose 22 percent, surpassing Wall Street’s expectations.","I.B.M.’s Quarterly Earnings Cast Light in a Darkening Economic Cloud","Business","IBM"
"7",7,"2008-09-27T18:28:05+0000","In industries from technology to finance to sales, nonassigned work spaces — also known as nonterritorial work spaces, mobile platforms and hot desks — are gaining popularity.","The Anywhere, Anytime Office","SundayBusiness","IBM"
"8",8,"2008-09-17T00:31:25+0000","The computer maker cautioned that slumping demand for technology equipment across the globe was affecting its business.","Shares Slip as Dell Sees Cutbacks in Its Sector","Business","IBM"
"9",9,"2008-08-30T19:21:14+0000","An experimental Web site allows users to upload the data they want to visualize, then try sophisticated tools to generate interactive displays.","Lines and Bubbles and Bars, Oh My! New Ways to Sift Data","SundayBusiness","IBM"
"10",10,"2008-01-18T00:11:29+0000","I.B.M.’s long-term strategy of moving up to higher-profit businesses and increasingly relying on services and software is working. But the questions from Wall Street analysts had a common theme. Why are executives so comfortable about the 2008 out...","IBM: A Separate Reality?","Business","IBM"
"11",1,"2008-10-04T05:00:00+0000","","Apple hires IBM executive","IHT News","IBM"
"12",2,"2008-10-09T05:00:00+0000","","IBM earnings offer a ray of hope","IHT News","IBM"
"13",3,"2008-01-14T05:00:00+0000","","IBM profit easily exceeds expectations","IHT News","IBM"
"14",4,"2008-02-04T05:00:00+0000","","Moscow university acquires IBM supercomputer","IHT News","IBM"
"15",5,"2008-10-20T05:00:00+0000","","IBM wins funding for 'brainy' computer","IHT News","IBM"
"16",6,"2008-02-26T05:00:00+0000","","IBM's buyback lifts Wall St.","IHT News","IBM"
"17",7,"2008-01-14T05:00:00+0000","","U.S. stocks rally on IBM results","IHT News","IBM"
"18",8,"2008-01-15T05:00:00+0000","","IBM may sidestep downturn in the U.S. economy","IHT News","IBM"
"19",9,"2008-04-17T05:00:00+0000","","IBM profits exceed Wall Street estimates","IHT News","IBM"
"20",10,"2008-01-17T05:00:00+0000","","IBM profit rises on Asian and European sales","IHT News","IBM"
"21",1,"2008-01-15T05:00:00+0000","","IBM may sidestep downturn in the U.S. economy","IHT News","IBM"
"22",2,"2008-04-17T05:00:00+0000","","IBM profits exceed Wall Street estimates","IHT News","IBM"
"23",3,"2008-01-14T05:00:00+0000","","Stocks rally on IBM results, as dollar falls","IHT News","IBM"
"24",4,"2008-10-06T05:00:00+0000","","IBM chief sees tech-fueled recovery","IHT News","IBM"
"25",5,"2008-01-04T05:00:00+0000","","IBM earnings help to lift U.S. stocks","IHT News","IBM"
"26",6,"2008-02-26T05:00:00+0000","","IBM buyback pushes U.S. stocks higher","IHT News","IBM"
"27",7,"2008-04-16T05:00:00+0000","","IBM earnings jump on gains at services and software units","IHT News","IBM"
"28",8,"2008-11-08T05:00:00+0000","","IBM and Harvard tap computer power for green energy","IHT News","IBM"
"29",9,"2008-10-16T05:00:00+0000","","New contracts lift IBM's profit 20 percent","IHT News","IBM"
"30",10,"2008-10-09T05:00:00+0000","","IBM says third-quarter earnings will top forecasts","IHT News","IBM"
"31",1,"2008-04-01T05:00:00+0000","","IBM temporarily barred from seeking U.S. government contracts","IHT News","IBM"
"32",2,"2008-04-06T05:00:00+0000","","IBM says ban lifted on new U.S. government contracts","IHT News","IBM"
"33",3,"2008-04-01T05:00:00+0000","","IBM temporarily barred from seeking U.S. government contracts","IHT News","IBM"
"34",4,"2008-07-11T05:00:00+0000","","Ex-Hewlett Packard executive pleads guilty to IBM theft","IHT News","IBM"
"35",5,"2008-05-14T05:00:00+0000","","Wave of outsourcing mergers could follow Hewlett-Packard-EDS deal","IHT News","IBM"
"36",6,"2008-06-19T05:00:00+0000","","Lenovo: An Olympic sponsor caught between China and the world","IHT News","IBM"
"37",7,"2008-05-27T05:00:00+0000","","The rise of the unpredictable consumer","IHT News","IBM"
"38",8,"2008-05-13T05:00:00+0000","","Hewlett-Packard will acquire Electronic Data Systems for $13.9 billion","IHT News","IBM"
"39",9,"2008-05-13T05:00:00+0000","","HP acquires EDS for $13.9 billion","IHT News","IBM"
"40",10,"2008-05-13T05:00:00+0000","","Hewlett-Packard close to acquiring EDS","IHT News","IBM"
"41",1,"2008-03-17T10:59:01+0000","","Avoding Static in I.B.M.’s Cognos Deal","Business","IBM"
"42",2,"2008-09-26T05:00:00+0000","","Putting Lenovo's brand on the global map","IHT News","IBM"
"43",3,"2008-08-20T05:00:00+0000","","Leader of the Carlyle Group to leave post in September","IHT News","IBM"
"44",4,"2008-06-09T05:00:00+0000","","U.S. supercomputer sets speed record","IHT News","IBM"
"45",5,"2008-01-17T12:19:03+0000","","The Outlook for Open Source Deal-Making","Business","IBM"
"46",6,"2008-04-17T05:00:00+0000","","Mixed earnings reports weigh on U.S. stocks","IHT News","IBM"
"47",7,"2008-06-09T05:00:00+0000","","Supercomputer sets record","IHT News","IBM"
"48",8,"2008-09-05T12:30:48+0000","Society | A new book predicts the “mathematical modeling of humanity” by a new class of “numerati” crunching data from the Internet, cell phones and credit cards. Whizzes at IBM are already working to take the guesswork out of management. Soon the...","The Numerati","","IBM"
"49",9,"2008-07-29T11:49:57+0000","","I.B.M. to Buy France’s Ilog for $340 Million","Business","IBM"
"50",10,"2008-05-22T10:28:00+0000","","More Deals for Enterprise Database Companies?","Business","IBM"
"51",1,"2008-09-16T05:00:00+0000","","Hewlett-Packard to cut 24,600 jobs","IHT News","IBM"
"52",2,"2008-07-29T12:52:23+0000","","The I.B.M. Deal Machine: A Seller’s View","Business","IBM"
"53",3,"2008-05-12T22:43:40+0000","","Skepticism Clouds H-P’s Talks with Electronic Data","Business","IBM"
"54",4,"2008-04-17T05:00:00+0000","","Asian stocks rally behind earnings reports on Wall Street","IHT News","IBM"
"55",5,"2008-07-03T10:56:52+0000","","I.B.M. Hops Onto Platform to End Legal Fight","Business","IBM"
"56",6,"2008-03-07T12:22:08+0000","","I.B.M. Says It Won’t ‘Do a Yahoo’","Business","IBM"
"57",7,"2008-08-28T05:00:00+0000","","News alert for Mac fans: Apple has never been perfect","IHT News","IBM"
"58",8,"2008-01-31T05:00:00+0000","","Lenovo's results beats expectations","IHT News","IBM"
"59",9,"2008-02-14T05:00:00+0000","","As sales for U.S. firms like GE go abroad, so do the managers","IHT News","IBM"
"60",10,"2008-02-03T16:04:34+0000","","My Opening Move: an Introduction","","IBM"
"61",1,"2008-05-14T05:00:00+0000","","Hewlett-Packard is facing skepticism on EDS deal","IHT News","IBM"
"62",2,"2008-03-26T05:00:00+0000","","Acquisitions lift profit at Oracle","IHT News","IBM"
"63",3,"2008-01-04T05:00:00+0000","","Home-office life and its discontents","IHT News","IBM"
"64",4,"2008-04-18T05:00:00+0000","","U.S. quarterly earnings expose a two-speed economy","IHT News","IBM"
"65",5,"2008-05-12T05:00:00+0000","","Indian software services firms shift focus","IHT News","IBM"
"66",6,"2008-03-28T05:00:00+0000","","Down to the wire for Microsoft's pursuit of a global industry standard","IHT News","IBM"
"67",7,"2008-05-14T05:00:00+0000","","Search for super-rice taps personal computers","IHT News","IBM"
"68",8,"2008-05-05T05:00:00+0000","","A step back for Microsoft","IHT News","IBM"
"69",9,"2008-03-30T05:00:00+0000","","Vote on a Web standard too close to call","IHT News","IBM"
"70",10,"2008-01-30T13:20:11+0000","","Carlyle Chairman: There’s No Crisis","Business","IBM"
"71",1,"2008-05-21T05:00:00+0000","","When a bust is a boom: The weak dollar helps HP","IHT News","IBM"
"72",2,"2008-01-30T13:20:11+0000","","Carlyle Chairman: There’s No Crisis","Business","IBM"
"73",3,"2008-05-21T05:00:00+0000","","Hewlett-Packard offers more detail on increase in revenue","IHT News","IBM"
"74",4,"2008-07-18T05:00:00+0000","","Growth, but not enough, at Microsoft and Google","IHT News","IBM"
"75",5,"2008-10-04T05:00:00+0000","","Fujitsu acquisition to increase  overseas presence","IHT News","IBM"
"76",6,"2008-11-16T05:00:00+0000","","As growth stagnates, tech companies' dividends rise","IHT News","IBM"
"77",7,"2008-05-16T05:00:00+0000","","Tech has escaped worst of downturn, so far","IHT News","IBM"
"78",8,"2008-02-05T05:00:00+0000","","INDIA: Competing cities","IHT News","IBM"
"79",9,"2008-01-14T17:53:04+0000","","A Bear’s Questions","Business","IBM"
"80",10,"2008-01-09T05:00:00+0000","","Lenovo shares plunge amid concerns over U.S. consumer spending","IHT News","IBM"
"81",1,"2008-02-05T05:00:00+0000","","Microsoft's bear-hug approach to Yahoo","IHT News","IBM"
"82",2,"2008-08-12T09:44:31+0000","","‘Looks Good on a Blue Tablecloth’","","IBM"
"83",3,"2008-05-28T05:00:00+0000","","Microsoft document format challenged","IHT News","IBM"
"84",4,"2008-05-12T05:00:00+0000","","Software services are burgeoning in China","IHT News","IBM"
"85",5,"2008-05-15T05:00:00+0000","","GE looking to sell appliance division","IHT News","IBM"
"86",6,"2008-09-02T21:50:04+0000","Oracle announced that it is buying ClearApp, an enterprise software maker, for an undisclosed price. It is the first challenge for Oracle’s new chief financial officer, Jeff Epstein.","The Oracle Acquisition Machine Swallows ClearApp","None","IBM"
"87",7,"2008-05-15T05:00:00+0000","","GE to sell its appliance division","IHT News","IBM"
"88",8,"2008-09-02T21:50:04+0000","Oracle announced Tuesday that it is buying ClearApp, an enterprise software maker, for an undisclosed price. It’s the first challenger for Oracle’s new chief financial officer, Jeff Epstein, who was hired last week.","The Oracle Acquisition Machine Swallows ClearApp","Business","IBM"
"89",9,"2008-02-03T05:00:00+0000","","Is Microsoft gearing up for yesterday's battle?","IHT News","IBM"
"90",10,"2008-11-20T05:01:54+0000","An ambitious project in cognitive computing is getting under way with a $4.9 million government grant to five universities and I.B.M. Research.","Hunting for a Brainy Computer","Business","IBM"
"91",1,"2008-01-10T05:00:00+0000","","Monitoring tools help cut home energy use, study finds","IHT News","IBM"
"92",2,"2008-01-15T05:00:00+0000","","Asian shares retreat ahead of U.S. earnings","IHT News","IBM"
"93",3,"2008-09-24T18:21:12+0000","","Are Regulators Supposed to Set Prices?","Business","IBM"
"94",4,"2008-06-15T05:00:00+0000","","Technology giants join forces to fight communications clutter","IHT News","IBM"
"95",5,"2008-09-29T05:00:00+0000","","Wall Street's slow demise","IHT News","IBM"
"96",6,"2008-04-02T10:14:46+0000","","For V.C.’s, No Exit in Sight","Business","IBM"
"97",7,"2008-08-31T05:00:00+0000","","Lines and bubbles and bars, oh my! New ways to sift data","IHT News","IBM"
"98",8,"2008-01-09T05:00:00+0000","","Monitoring tools help cut home energy use, study finds","IHT News","IBM"
"99",9,"2008-05-01T05:00:00+0000","","Race is on to better use multicore computer chips","IHT News","IBM"
"100",10,"2008-10-25T05:00:00+0000","","HP unit sheds stepchild status to take on Cisco","IHT News","IBM"
"101",1,"2008-02-27T05:00:00+0000","","European shares drop, weighed down by bank stocks","IHT News","IBM"
"102",2,"2008-07-24T05:00:00+0000","","Online chief is leaving Microsoft","IHT News","IBM"
"103",3,"2008-03-05T05:00:00+0000","","AMD says it's gaining on Intel","IHT News","IBM"
"104",4,"2008-07-24T05:00:00+0000","","Head of Microsoft's online efforts departs","IHT News","IBM"
"105",5,"2008-05-02T05:00:00+0000","","Sun to cut 2,500 jobs","IHT News","IBM"
"106",6,"2008-07-18T05:00:00+0000","","U.S. and European stocks rise on Citigroup results","IHT News","IBM"
