"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-02T01:01:52+0000","Intel will announce a deal to become the sole supplier of flash memory for a coming Hitachi line of computer drives.","In Deal With Hitachi, Intel Will Expand Its Flash Memory Business","Business","Intel"
"2",2,"2008-12-11T01:18:22+0000","More consumers are eagerly eyeing a new wave of solid-state drives that are smaller and many times faster than traditional hard drives.","Computing Without a Whirring Drive","Business","Intel"
"3",3,"2008-11-17T03:42:18+0000","While Intel’s Core i7 microprocessor has received glowing reviews, there is good reason for caution.","Burned Once, Intel Prepares New Chip Fortified by Constant Tests","Business","Intel"
"4",4,"2008-11-12T22:55:26+0000","The forecasts suggest that the technology industry is about to enter a slump that will rival or possibly exceed the dot-com bust of 2001.","Led by Intel, Chip Makers Cut Outlook","Business","Intel"
"5",5,"2008-11-15T02:45:11+0000","In the span of a few weeks, orders for technology products have collapsed and workers have been laid off.","Tech Companies, Long Insulated, Now Feel Slump","Business","Intel"
"6",6,"2008-10-29T20:05:31+0000","I have seen some computers listed as having an “Atom” processor. What is this and can it run Windows?","A Chip for Tiny PCs","Business","Intel"
"7",7,"2008-10-14T20:38:52+0000","Intel reported solid third quarter results, while cautioning that worsening economic conditions could have an unpredictable effect on the coming month.","Profit Rises, but Intel Chief Offers a Gloomy Outlook","Business","Intel"
"8",8,"2008-10-07T03:10:24+0000","In a dramatic effort to maintain its position as the only real rival to Intel, Advanced Micro Devices plans to announce that it will become two companies.","A.M.D. to Split Into Two Operations","Business","Intel"
"9",9,"2008-09-23T03:13:01+0000","The graphics processing company helps organizations analyze a vast quantity of data and do it much faster than standard computers.","Nvidia Chip Speeds Up Imaging for Industrial Use","Business","Intel"
"10",10,"2008-08-21T01:25:15+0000","Intel has made progress in a technology that could lead to the wireless recharging of gadgets and the end of the power-cord spaghetti behind electronic devices.","Intel Moves to Free Gadgets of Their Recharging Cords","Business","Intel"
"11",1,"2008-08-04T04:00:00+0000","Intel said it would initially aim its new microprocessor family, code-named Larrabee, at the personal computer graphics market.","Intel’s Line of Graphics Chips Could Have Broader Uses","Business","Intel"
"12",2,"2008-07-16T04:00:00+0000","Intel reported a sharp rise in profit and said strong demand worldwide for computer chips would continue in the current quarter.","Profit Rises 25% at Intel on Strong Global Demand","Business","Intel"
"13",3,"2008-08-06T22:06:38+0000","Those of us who pay lip service to green living can now be more genuinely P.C. -- with the Dell Studio Hybrid PC, a computer with special power-saving features.","A Green PC That’s Easier on the Electric Bill. The Bamboo Case Is Optional.","Business","Intel"
"14",4,"2008-06-21T04:00:00+0000","Antitrust investigations are so maddening that the Federal Trade Commission is likely to have a hard time getting to the bottom of the case against Intel.","A.M.D. and Its War With Intel","Business","Intel"
"15",5,"2008-06-30T04:00:00+0000","Intel might do well to be alarmed by the computer chips being designed by Qualcomm, a maker of chips for cellphones.","Intel’s Dominance Is Challenged by a Low-Power Upstart","Business","Intel"
"16",6,"2008-06-15T04:00:00+0000","We are hopeful that in opening a formal antitrust investigation of Intel, the Federal Trade Commission is finally ready to do its job.","The Intel Investigation","Editorial","Intel"
"17",7,"2008-06-07T04:00:00+0000","The Federal Trade Commission’s decision to look into accusations about Intel’s pricing reversed a previous stance that had blocked the inquiry for many months.","In Turnabout, Antitrust Unit Looks at Intel","Business","Intel"
"18",8,"2008-04-15T04:00:00+0000","The semiconductor maker reported solid global demand for its chips, soothing investor concerns that economic softness would rattle the technology industry.","Intel’s Income Meets Expectations","Business","Intel"
"19",9,"2008-01-16T05:00:00+0000","The chip maker reported revenue of $10.71 billion, up 10.5 percent from the quarter a year earlier, but about $100 million short of analysts’ forecasts.","A Strong Intel Disappoints on Outlook","Business","Intel"
"20",10,"2008-07-01T00:58:13+0000","One of Intel’s chief advantages is that Microsoft’s MS-DOS operating system will be booting on the teraflop Intel microprocessor in every personal computer of the future. Intel beleives that because it has always believed in backward compatibility...","Intel Bets on the Past","Business","Intel"
"21",1,"2008-07-17T05:00:00+0000","","EU widens Intel inquiry","IHT News","Intel"
"22",2,"2008-01-24T22:17:21+0000","CNBC interviews Craig Barrett, chairman of Intel, on the outlook for tech sector.","Intel's Barrett on Tech's Outlook","","Intel"
"23",3,"2008-03-16T04:00:00+0000","Three students from New Jersey and Long Island finished among the top 10 winners in the annual Intel Science Talent Search.","3 Area Winners in Intel Contest","Regionals","Intel"
"24",4,"2008-01-07T21:32:47+0000","Paul Otellini, Intel CEO, discusses the challenges his company will face in 2008, with CNBC's Jim Goldman.","Intel C.E.O. on '08 Challenges","","Intel"
"25",5,"2008-01-25T15:09:07+0000","The chairman of Intel discusses the economy and information technology with Katrin Bennhold of the International Herald Tribune.","Intel's Craig Barrett at Davos","","Intel"
"26",6,"2008-03-05T05:00:00+0000","","AMD says it's gaining on Intel","IHT News","Intel"
"27",7,"2008-03-28T04:00:00+0000","A campaign that is scheduled to begin on Monday presents the Intel Corporation as the problem-solver for the people who solve the computer network problems for others.","Helping the Help Desk, the Intel Way","Business","Intel"
"28",8,"2008-04-16T05:00:00+0000","","Intel report soothes investors' fears","IHT News","Intel"
"29",9,"2008-06-05T11:06:01+0000","","Intel Funds Eight Start-Ups","Business","Intel"
"30",10,"2008-07-16T05:00:00+0000","","Global demand lifts Intel profit","IHT News","Intel"
"31",1,"2008-03-28T04:00:00+0000","A campaign that is scheduled to begin on Monday presents the Intel Corporation as the problem-solver for the people who solve the computer network problems for others.","Helping the Help Desk, the Intel Way","Business","Intel"
"32",2,"2008-02-14T11:44:07+0000","","Intel Takes Up Bragster’s Dare","Business","Intel"
"33",3,"2008-03-05T05:00:00+0000","","AMD says it's gaining on Intel","IHT News","Intel"
"34",4,"2008-07-15T05:00:00+0000","","Intel posts higher quarterly profit","IHT News","Intel"
"35",5,"2008-04-16T04:00:00+0000","The computer chip maker reported that global demand for chips was “solid” during the first quarter, soothing fears that a soft economy was hitting the tech sector.","Intel Reports Strong Demand for Chips in Quarter","Business","Intel"
"36",6,"2008-07-09T05:00:00+0000","","DreamWorks to drop AMD for Intel chips","IHT News","Intel"
"37",7,"2008-02-20T12:04:02+0000","","Intel Said to Invest in WiMax Venture","Business","Intel"
"38",8,"2008-06-06T05:00:00+0000","","U.S. opens antitrust investigation into Intel","IHT News","Intel"
"39",9,"2008-01-26T11:00:40+0000","","A Gloomy Outlook for Intel, or Just Average?","Business","Intel"
"40",10,"2008-04-02T05:00:00+0000","","Intel competes for the post-PC market","IHT News","Intel"
"41",1,"2008-02-20T12:04:02+0000","","Intel Said to Invest in WiMax Venture","Business","Intel"
"42",2,"2008-04-02T05:00:00+0000","","Intel competes for the post-PC market","IHT News","Intel"
"43",3,"2008-06-06T05:00:00+0000","","Intel said to be facing U.S. antitrust investigation","IHT News","Intel"
"44",4,"2008-02-12T05:00:00+0000","","Intel raided as part of EU antitrust inquiry","IHT News","Intel"
"45",5,"2008-03-04T05:00:00+0000","","Intel falls after cut in profit forecast","IHT News","Intel"
"46",6,"2008-08-21T05:00:00+0000","","Intel pursues technology for recharging without wires","IHT News","Intel"
"47",7,"2008-04-01T05:00:00+0000","","STMicro and Intel clinch memory deal","IHT News","Intel"
"48",8,"2008-01-05T05:00:00+0000","Intel and the One Laptop Per Child group had a rocky relationship from the start in their short-lived effort to get inexpensive laptops into the hands of the world’s poorest children.","Intel Quits Effort to Get Computers to Children","Business","Intel"
"49",9,"2008-01-07T05:00:00+0000","","Intel asks for hearing on EU antitrust claims","IHT News","Intel"
"50",10,"2008-03-04T05:00:00+0000","","Intel shares fall after profit downgrade","IHT News","Intel"
"51",1,"2008-08-21T05:00:00+0000","","Intel moves to free gadgets of their recharging cords","IHT News","Intel"
"52",2,"2008-01-04T05:00:00+0000","","Intel leaves group backing education PCs","IHT News","Intel"
"53",3,"2008-03-04T05:00:00+0000","","Intel shares fall after profit downgrade","IHT News","Intel"
"54",4,"2008-01-06T05:00:00+0000","","Intel earnings and revenue projections disappoint investors","IHT News","Intel"
"55",5,"2008-06-06T05:00:00+0000","","Intel said to be facing U.S. antitrust investigation","IHT News","Intel"
"56",6,"2008-01-01T05:00:00+0000","","Cuomo subpoenas Intel over antitrust accusations","IHT News","Intel"
"57",7,"2008-06-30T05:00:00+0000","","Qualcomm threatens Intel with low-power chip","IHT News","Intel"
"58",8,"2008-02-12T05:00:00+0000","","Intel raided as part of EU antitrust inquiry","IHT News","Intel"
"59",9,"2008-03-04T05:00:00+0000","","Intel falls after cut in profit forecast","IHT News","Intel"
"60",10,"2008-08-20T22:40:11+0000","The initiative would let people to do things like check their stock prices or peruse their photos all while watching TV.","Intel, Yahoo Partnering on Internet TV Concept","Media","Intel"
"61",1,"2008-08-20T22:40:11+0000","The initiative would let people to do things like check their stock prices or peruse their photos all while watching TV.","Intel, Yahoo Partnering on Internet TV Concept","Media","Intel"
"62",2,"2008-08-21T05:00:00+0000","","Intel moves to free gadgets of their recharging cords","IHT News","Intel"
"63",3,"2008-06-02T02:43:11+0000","In a wide-ranging interview, Intel Chief Executive Paul Otellini talks about Intel’s move into processors for smaller machines, the company’s new chip plant in China, the challenges of programming many-core processors and the economic impact of th...","Intel’s Chief on Strategy, Globalization and the Price of Oil","Business","Intel"
"64",4,"2008-02-10T05:00:00+0000","Ward Melville High School has produced a semifinalist for the national Intel Science Talent Search.","Out of Whiz-Kid Caldron, Intel Finalist","Regionals","Intel"
"65",5,"2008-03-04T05:00:00+0000","","Intel warning hits U.S. and European markets","IHT News","Intel"
"66",6,"2008-04-02T04:00:00+0000","Intel plans to proclaim that the next big thing in consumer gadgets will be the “Internet in your pocket.”","Intel Makes a Push Into Pocket-Size Internet Devices","Business","Intel"
"67",7,"2008-11-19T13:26:34+0000","Where speed is the issue, for gamers and the like, the Core i7 makes sense. Where the economy and budgeting is the issue, it’s overkill.","Intel’s High-End Chip Enters the Market","","Intel"
"68",8,"2008-06-05T05:00:00+0000","","Intel is fined by Seoul over chip sale tactic","IHT News","Intel"
"69",9,"2008-06-05T05:00:00+0000","","Intel is fined by Seoul over chip sale tactic","IHT News","Intel"
