"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-09-23T01:31:30+0000","The joint surrender of Goldman Sachs and Morgan Stanley signals the start of a period of subdued activity in the city’s financial sector, experts said.","Experts See a More Subdued Period Ahead for New York’s Economy","Metro","JPMorgan Chase"
"2",2,"2008-04-16T05:00:00+0000","","JPMorgan Chase profit falls by 50%","IHT News","JPMorgan Chase"
"3",3,"2008-11-17T05:00:00+0000","","JPMorgan Chase to relocate European headquarters to Canary Wharf","IHT News","JPMorgan Chase"
"4",4,"2008-01-16T05:00:00+0000","","JPMorgan Chase quarterly profit falls 34 percent","IHT News","JPMorgan Chase"
"5",5,"2008-01-06T05:00:00+0000","","JPMorgan  Chase profit falls on  $1.3 billion write-down","IHT News","JPMorgan Chase"
"6",6,"2008-08-14T05:00:00+0000","","JPMorgan Chase and Morgan Stanley to buy back $7 billion in securities","IHT News","JPMorgan Chase"
"7",7,"2008-05-29T05:00:00+0000","","Bear Stearns becomes history as shareholders approve takeover by JPMorgan Chase","IHT News","JPMorgan Chase"
"8",8,"2008-06-16T04:00:00+0000","The move is part of an introduction of JPMorgan’s branding strategy, formally giving separate identities to the consumer and institutional businesses.","JPMorgan’s Stately Old Logo Returns for Institutional Business","Business","JPMorgan Chase"
"9",9,"2008-04-04T11:29:19+0000","","JPMorgan Hunts Bear on the Open Market","Business","JPMorgan Chase"
"10",10,"2008-03-24T14:12:55+0000","","JPMorgan Raises Bear Bid to $10 Per Share","","JPMorgan Chase"
"11",1,"2008-03-24T14:12:55+0000","","JPMorgan Raises Bear Bid to $10 Per Share","","JPMorgan Chase"
"12",2,"2008-03-28T11:46:30+0000","","JPMorgan Buys Nordea Bank Assets","Business","JPMorgan Chase"
"13",3,"2008-03-25T14:40:24+0000","","Will Bear Be JPMorgan’s Brokerage Breakthrough?","Business","JPMorgan Chase"
"14",4,"2008-04-04T05:00:00+0000","","JP Morgan Chase buys Bear shares on open market","IHT News","JPMorgan Chase"
"15",5,"2008-10-14T15:47:56+0000","","Bank Stock Rally Leaves JPMorgan Behind","Business","JPMorgan Chase"
"16",6,"2008-05-22T11:14:03+0000","","Bear’s Mayer Turns Down JPMorgan Offer","Business","JPMorgan Chase"
"17",7,"2008-05-19T11:39:52+0000","","JPMorgan Campaigns for Former Bear Staff","Business","JPMorgan Chase"
"18",8,"2008-09-19T12:02:24+0000","","JPMorgan’s Prime Brokerage Is Said to Be Reaping Clients","Business","JPMorgan Chase"
