"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-06T02:08:56+0000","Experiencing Art Basel Miami Beach, which embraces more than 200 galleries and spawns numerous ancillary events in the Miami area, is by turns thrilling, numbing and totally mystifying.","The Art Fair as Outlet Mall","Culture","Johnson & Johnson"
"2",2,"2008-12-25T01:33:12+0000","The legend of Jack Johnson, who became the first black heavyweight champion 100 years ago Friday, has inspired an online comic-book biography.","Comic Book Takes Unflinching Look at a Boxing Champion","Sports","Johnson & Johnson"
"3",3,"2008-12-01T13:47:14+0000","Johnson & Johnson is acquiring Mentor Corporation, a maker of breast implants, for $1.07 billion in cash in a bid to strengthen its presence in aesthetic and reconstructive medicine.","Johnson & Johnson Buys Medical Device Maker","Business","Johnson & Johnson"
"4",4,"2008-12-25T01:53:41+0000","The ideologues who have been running the E.P.A. for the last half-dozen years have done little for the environment with the weapons Congress gave them.","E.P.A.’s Doctor No","Editorial","Johnson & Johnson"
"5",5,"2008-12-24T13:50:25+0000","An ongoing conversation about a disabled life.","Happy Nevertheless","Magazine","Johnson & Johnson"
"6",6,"2008-12-25T01:09:47+0000","More nonfiction reviewed.","Nonfiction Chronicle","BookReview","Johnson & Johnson"
"7",7,"2008-12-15T03:34:05+0000","A nondenominational worship series, called Harlem Hallelujah, began on Sunday, drawing more than 800 people.","At the Apollo, a Theater Gets Religion","Metro","Johnson & Johnson"
"8",8,"2008-12-06T22:03:45+0000","Jimmie Johnson has his sights set on four consecutive Nascar Cup championships, to match Jeff Gordon, his Hendrick Motorsports teammate.","Like a Rock in Nascar","Sports","Johnson & Johnson"
"9",9,"2008-12-04T01:59:51+0000","Chad Knaus has been Jimmie Johnson’s crew chief for all three of his championships, and Johnson probably would not have won the titles without him.","An Accomplished Ally Rides Shotgun","Sports","Johnson & Johnson"
"10",10,"2008-11-19T01:14:38+0000","It seems to be dawning on Johnson only now that by matching Cale Yarborough’s three straight Cup titles, he and his race team have become a sports powerhouse.","Johnson Hopes His Run Hasn’t Come to an End","Sports","Johnson & Johnson"
