"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-11-17T18:35:20+0000","Q & A with Stuart Elliott.","Q & A with Stuart Elliott","Business","McDonald's"
"2",2,"2008-10-23T03:40:58+0000","McDonald’s said third-quarter profit rose as consumers stretched by higher food costs bought $1 double cheeseburgers and specialty coffees.","McDonald’s Made Profit With Assist From Dollar Menu","Business","McDonald's"
"3",3,"2008-12-29T05:16:43+0000","Hundreds of migrants from Bangladesh and Myanmar are missing and feared dead in the Bay of Bengal after jumping from a boat and trying to swim to shore.","Hundreds Are Feared Dead in Bay of Bengal","Foreign","McDonald's"
"4",4,"2008-12-29T07:37:32+0000","With power changing hands in Thailand, supporters of Thaksin Shinawatra, the former prime minister who was ousted in a coup in 2006, began to protest.","Protesters Surround Thai Parliament","Foreign","McDonald's"
"5",5,"2008-12-26T18:49:16+0000","In China’s first modern deployment of battle-ready warships beyond the Pacific, a naval task force set out Friday to begin escorts and patrols in the pirate-infested Gulf of Aden.","Chinese Warships Sail, Loaded for Pirates","Foreign","McDonald's"
"6",6,"2008-12-26T04:44:13+0000","China’s first modern deployment of battle-ready warships left Friday to begin escorts and patrols in the pirate-infested Gulf of Aden, state media reported.","China’s Navy to Join Pirate Patrols","Foreign","McDonald's"
"7",7,"2008-12-24T10:33:36+0000","Cardinal Joseph Zen Ze-kiun, a sharp critic of China over democratic rights and religious freedoms, said that the Vatican has agreed to his request to step down next year.","Cardinal Critical of China to Leave Hong Kong Diocese","Foreign","McDonald's"
"8",8,"2008-12-19T03:44:04+0000","The Chinese government will send naval ships to the Gulf of Aden to help in the fight against piracy there.","China Confirms It Will Join Piracy Fight","Foreign","McDonald's"
"9",9,"2008-12-18T10:11:48+0000","The Chinese government confirmed that it would send naval ships to the Gulf of Aden to help in the fight against piracy there.","China Confirms Naval Role in Gulf of Aden","Foreign","McDonald's"
"10",10,"2008-12-17T06:49:11+0000","In what would be the first active deployment of its warships beyond the Pacific, China appears set to send vessels to help fight pirates in the Gulf of Aden.","China Considers Naval Mission Against Pirates in Gulf of Aden","Foreign","McDonald's"
"11",1,"2008-12-15T06:43:56+0000","An 80-minute flight across the Taiwan Strait marked the first regular cross-strait traffic since the end of the civil war in 1949.","Taiwan and China Restore Air Links","Foreign","McDonald's"
"12",2,"2008-12-10T02:35:31+0000","In the Gulf of Aden, 102 ships have been attacked so far this year and 40 have been hijacked. Shipowners and governments are desperately seeking countermeasures to stop the brazen seizures.","Array of Strategies Are Tried to Turn Back Pirates at Sea","Foreign","McDonald's"
"13",3,"2008-12-05T10:07:56+0000","Honda disbanded its Formula One team in a move that highlights the dismal state of the auto industry.","Honda Pulls Out of Formula One Racing","Sports","McDonald's"
"14",4,"2008-10-16T21:18:00+0000","Audra McDonald and Barbara Cook will star in “Broadway Voices for Change,” a one-night benefit for America Votes.","Footnotes","Weekend","McDonald's"
"15",5,"2008-11-27T02:37:11+0000","A harrowing account suggests that the sinking of a Thai fishing trawler in the Gulf of Aden was a case of mistaken identity.","Mistake Cited in Sinking of Boat by India","Foreign","McDonald's"
"16",6,"2008-11-24T04:51:56+0000","Anti-government demonstrators spread across Bangkok, surrounding the Parliament building in what they described as a final push to unseat the government.","Thai Protesters Surround Parliament","Foreign","McDonald's"
"17",7,"2008-11-24T08:38:44+0000","Anti-government demonstrators staged what they described as a final push to unseat the government.","Demonstrators Surround Parliament in Thailand","Foreign","McDonald's"
"18",8,"2008-11-23T01:28:31+0000","Greenpeace is distancing itself from the directly confrontational approach it once championed — and which the Sea Shepherd Conservation Society remains committed to.","In Battle Against Whaling, Groups Split on Strategy","Foreign","McDonald's"
"19",9,"2008-11-20T07:33:27+0000","An anti-government protester was killed and at least 29 were injured in an attack against activists occupying the Government House in Bangkok, according to reports.","Grenade Attack Kills Thai Protester","Foreign","McDonald's"
"20",10,"2008-11-19T07:33:15+0000","The U.S. opened a branch of the Food and Drug Administration in the Chinese capital, the first of several overseas offices aimed at regulating the safety of imported food and medicine.","F.D.A. Opens Office in Beijing to Screen Food and Drug Exports","Foreign","McDonald's"
"21",1,"2008-11-18T07:31:13+0000","A regional piracy-monitoring agency in Singapore said maritime attacks in Asia in the first nine months of the year dropped 11 percent compared to 2007 and 32 percent from 2006.","Maritime Hijackings Are Decreasing in Asia","Foreign","McDonald's"
"22",2,"2008-11-18T08:24:06+0000","The owner of a Saudi supertanker was awaiting further contact from the pirates who seized the vessel off the coast of Somalia.","Hijacked Supertanker Anchors Off Somalia","Foreign","McDonald's"
"23",3,"2008-09-09T00:24:45+0000","The use of Salvia divinorum, a potent hallucinogenic herb, was once limited to revelation seekers in Mexico. Now, the drug is available legally across the U.S.","Popularity of a Hallucinogen May Thwart Its Medical Uses","National","McDonald's"
"24",4,"2008-07-17T04:00:00+0000","McDonald’s is sponsoring a song-contest using the jingle on MySpace. The official reason is the 40th anniversary of the Big Mac, but the then-and-now similarities are not entirely lost on the company.","Remember ‘2 All-Beef Patties?’ McDonald’s Hopes You Do","Business","McDonald's"
"25",5,"2008-07-22T04:00:00+0000","Name-brand products make regular appearances on television shows, where they are typically written into a drama. But TV News? You bet.","A Product’s Place Is on the Set","Business","McDonald's"
"26",6,"2008-05-11T04:00:00+0000","Martine Elizabeth Combal, a daughter of Mary Schmid Combal and Pierre H. Combal of Scarsdale, N.Y., was married in Washington on Saturday to Patrick Hills McDonald, the son of Melinda Hills McDonald and Patrick O. McDonald of Philadelphia. The Rev...","Martine Combal, Patrick McDonald","Society","McDonald's"
"27",7,"2008-05-17T23:06:44+0000","Duke’s lacrosse program has become actively involved with the Ronald McDonald House.","Duke’s Ronald McDonald Information","","McDonald's"
"28",8,"2008-10-13T05:00:00+0000","","Venezuela shuts McDonald's outlets","IHT News","McDonald's"
"29",9,"2008-03-28T21:25:57+0000","A trailer for The Lost Ring, an alternate reality game  that McDonald's commissioned for the Olympics.","McDonald's Alternate Reality Game","","McDonald's"
"30",10,"2008-09-07T13:33:21+0000","Sarah Singleton McDonald and Patrick Brendan Robert Egan, both lawyers in New York, were married there on Saturday evening at Tribeca Rooftop. Rabbi Richard S. Chapin officiated.","Sarah McDonald, Patrick Egan","Society","McDonald's"
"31",1,"2008-10-07T12:54:25+0000","","Willard Scott as Ronald McDonald","","McDonald's"
