"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-10-22T19:56:55+0000","Hurt by declining sales of some of its biggest drugs and vaccines, Merck said that it would cut another 7,200 jobs, or 12 percent of its work force, in its second revamping in three years.","Merck Plans to Cut 12% of Work Force as Its Sales and Profit Fall","Business","Merck & co"
"2",2,"2008-09-16T15:05:16+0000","Amgen’s experimental bone drug reduced the risk of spinal fractures in women with osteoporosis by 68 percent in a pivotal clinical trial.","Good Results for Bone Drug Buoy Amgen","Business","Merck & co"
"3",3,"2008-08-20T03:16:59+0000","Drug makers call the rapid deployment of a vaccine against cervical cancer education, but their critics call it marketing.","Drug Makers’ Push Leads to Cancer Vaccines’ Rise","National","Merck & co"
"4",4,"2008-08-20T21:00:41+0000","Studies suggest that two vaccines against cervical cancer are being used without sufficient evidence that they are effective and worth their high cost.","Researchers Question Wide Use of HPV Vaccines","National","Merck & co"
"5",5,"2008-07-22T04:00:00+0000","The cholesterol-lowering drug Vytorin did not help people with heart-valve disease avoid further heart problems but did appear to increase their risk of cancer, scientists reported Monday.","Trial Intensifies Concerns About Safety of Vytorin","Business","Merck & co"
"6",6,"2008-04-16T04:00:00+0000","Documents unearthed in lawsuits over the pain drug Vioxx provide a rare, detailed look at the industry practice of ghostwriting medical research studies.","Merck Wrote Drug Studies for Doctors","Business","Merck & co"
"7",7,"2008-05-05T05:00:00+0000","","Merck suffers a series of setbacks","IHT News","Merck & co"
"8",8,"2008-10-22T05:00:00+0000","","Merck to slash 12% of workforce","IHT News","Merck & co"
"9",9,"2008-04-21T16:53:05+0000","CNBC interviews Richard T. Clark, chief executive of Merck, on his company's earnings.","Merck's Chief Discusses Earnings","","Merck & co"
"10",10,"2008-07-23T05:00:00+0000","","Merck profit falls because of currencies","IHT News","Merck & co"
"11",1,"2008-05-21T05:00:00+0000","","Merck settles case over ads for  Vioxx","IHT News","Merck & co"
"12",2,"2008-05-29T05:00:00+0000","","Court rejects Vioxx verdicts against Merck","IHT News","Merck & co"
"13",3,"2008-01-04T05:00:00+0000","Merck agreed to pay a Swiss company, Addex Pharmaceuticals, as much as $702 million to help develop a new schizophrenia drug.","Merck Makes Deal to Develop Schizophrenia Drug","Business","Merck & co"
"14",4,"2008-04-15T05:00:00+0000","","Merck used ghostwriters and misrepresented data on Vioxx, article says","IHT News","Merck & co"
"15",5,"2008-04-21T05:00:00+0000","","Merck and Novartis beat estimates in first quarter, Eli Lilly lags","IHT News","Merck & co"
"16",6,"2008-05-30T04:00:00+0000","The major victories for Merck pushed the litigation over Vioxx closer to conclusion and highlighted the difficulty that plaintiffs’ lawyers are having in winning lawsuits against big drug companies.","Courts Reject Two Major Vioxx Verdicts","Business","Merck & co"
