"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-12-31T11:33:31+0000","Eleven people were convicted of roles in a counterfeiting ring that distributed pirated software around the world.","Chinese Court Convicts 11 in Microsoft Piracy Case","Business","Microsoft"
"2",2,"2008-12-08T23:28:32+0000","Microsoft said it would abide by a European privacy panel’s request to reduce the length of time it kept records of Web searches if its rivals, Yahoo and Google, did the same.","Microsoft Offers to Reduce Search Data in Europe","Business","Microsoft"
"3",3,"2008-12-05T01:18:25+0000","Microsoft named Qi Lu to run its struggling Internet unit on Thursday, filling an important position that had been vacant since the departure of Kevin Johnson in July.","Microsoft Names Ex-Yahoo Executive as Internet Unit Chief","Business","Microsoft"
"4",4,"2008-12-24T23:45:52+0000","I sometimes receive files with the extension “.wps.” I am told they are Microsoft Word files, but I am unable to open them with Word 2002. Is there some way these files can be opened?","Open the Works With Word","Business","Microsoft"
"5",5,"2008-12-31T23:27:10+0000","Ever since I increased the amount of memory inside the box, my Windows Vista PC has been crashing. Is there a way to tell if the new RAM chips are causing the problem as opposed to a virus?","Test Memory for Errors","Business","Microsoft"
"6",6,"2008-12-24T03:51:14+0000","Yahoo’s decision to remove personally identifiable search information after 90 days is an encouraging development for the cause of Internet privacy.","More Privacy Online","Editorial","Microsoft"
"7",7,"2008-12-24T23:46:56+0000","Wading through technical specifications when shopping for a new digital camera during year-end sales can be overwhelming.","Tip of the Week: Shopping for a New Digital Camera","Business","Microsoft"
"8",8,"2008-12-24T23:44:04+0000","My wife and I have a Windows Vista PC with iTunes and we recently got a Mac G4 from her brother. What’s the easiest way to switch her music to the Mac?","Transplanting the iTunes","Business","Microsoft"
"9",9,"2008-12-17T23:40:22+0000","Is there a better way to get the latest software updates than opening each application, one by one, and clicking “check for updates?”","Updating Automatically","Business","Microsoft"
"10",10,"2008-12-20T03:08:05+0000","Three years into the current generation of game systems, the video game industry has never been more reliable in producing high-quality entertainment for a variety of audiences and tastes.","The Zombies Look Better Every Year","0","Microsoft"
"11",1,"2008-12-11T01:47:41+0000","It largely retired the system this year, but Microsoft still offers its free collection of PowerToys for Windows XP.","Tip of the Week: Toys for Windows XP","Business","Microsoft"
"12",2,"2008-11-25T02:56:04+0000","A Microsoft study suggests that self-diagnosis by search engine leads Web searchers to conclude the worst about what ails them.","Microsoft Examines Causes of ‘Cyberchondria’","Business","Microsoft"
"13",3,"2008-11-19T23:23:02+0000","Steven A. Ballmer’s stance may force Yahoo’s next chief executive to find another way to revive the company’s profit.","Yahoo Bid Is Over, Microsoft Says","Business","Microsoft"
"14",4,"2008-11-26T23:18:35+0000","I still see laptops for sale that have Windows XP as the operating system, but I thought Microsoft discontinued it. What gives?","Windows XP: Still for Sale","Business","Microsoft"
"15",5,"2008-11-22T20:28:07+0000","New tools are being developed that let people at different computers search as a team in a shared Web space.","The Online Search Party: A Way to Share the Load","SundayBusiness","Microsoft"
"16",6,"2008-11-20T00:53:40+0000","I get a pop-up above the computer’s system tray that says: “Updates are ready for your computer. Click here to install these updates.” Who is providing these updates?","Updates for XP, Automatically","Business","Microsoft"
"17",7,"2008-11-20T00:51:39+0000","A little preventive maintenance on the computer can help stop lurking system problems like low disk space or damaged drivers from becoming real headaches.","Tip of the Week: Monitoring the Health of Your Computer","Business","Microsoft"
"18",8,"2008-11-15T01:36:57+0000","At the thrill-ride level, Gears of War 2, for the Xbox 360, is one of the most satisfying games of the year. But it suffers by taking itself far too seriously.","In a Complex Gaming Age, Faith in the Simple Virtues of Mayhem","Culture","Microsoft"
"19",9,"2008-11-03T05:51:56+0000","In the latest edition of its “Security Intelligence Report,” Microsoft said that the security 0f its Windows operating system has significantly improved.","On Security, Microsoft Reports Progress and Alarm","Business","Microsoft"
"20",10,"2008-11-13T00:43:27+0000","What’s the difference between file-based backup and image-based backup software?","Backing Up Is Not So Hard","Business","Microsoft"
"21",1,"2008-10-27T19:42:36+0000","The company said the system would manage the relationship between software inside the computer and on the Web.","Microsoft Plans ‘Cloud’ Operating System","Business","Microsoft"
"22",2,"2008-10-29T01:36:45+0000","Microsoft introduced what it said would be a slimmer and more responsive version of its Windows operating system.","Microsoft Introduces Windows 7, Ending Vista Brand","Business","Microsoft"
"23",3,"2008-11-05T22:43:12+0000","Is it possible to extract the content from a corrupted Microsoft Word 2003 file that won’t open?","Saving Words From Word","Business","Microsoft"
"24",4,"2008-10-27T01:03:46+0000","A nine-person team at Microsoft Research India assesses whether quirky ideas can make technology useful to those who have heretofore lived without it.","Microsoft Goes Far Afield to Study Emerging Markets","Business","Microsoft"
"25",5,"2008-10-23T21:52:40+0000","Sales and profit slightly surpassed Wall Street’s expectations but Microsoft delivered a cautious outlook for the months ahead.","Microsoft’s Profit Rises, but Outlook Is Cautious","Business","Microsoft"
"26",6,"2008-10-28T23:18:47+0000","LittleBigPlanet is the title the PlayStation 3 has been awaiting for two years.","The Look Is Tawdry, but the Possibilities Are Virtually Endless","Culture","Microsoft"
"27",7,"2008-10-25T18:42:54+0000","Matt Richtel and Ashlee Vance, technology reporters, demonstrate a new technology that allows users to access certain computer programs without having to boot-up a PC.","Great PC Boot-Off: Every Second Counts","","Microsoft"
"28",8,"2008-10-23T20:00:21+0000","Microsoft's Fable II, a fantasy adventure role-playing game for the Xbox 360, was released on Oct. 21.","Trailer: Fable II","","Microsoft"
"29",9,"2008-10-23T22:29:45+0000","Fable II, a new role-playing game from Microsoft for the Xbox 360, is a thoroughly insightful piece of entertainment wrapped in a colorful, almost deceptively simple package.","Date With Destiny of Your Choosing","Weekend","Microsoft"
"30",10,"2008-10-23T00:23:24+0000","Sometimes when I open PowerPoint on my Windows XP machine, I get a message about my “virtual memory” being too low. What does this mean and how can I fix it?","Fixing Warnings on Low Memory","Business","Microsoft"
"31",1,"2008-10-20T01:35:48+0000","The fight over the Google-Yahoo partnership shows how much Microsoft has learned about working in Washington, and how much Google has yet to learn.","Google Learns Lessons in the Ways of Washington","Business","Microsoft"
"32",2,"2008-10-02T19:39:40+0000","Microsoft described the move as a vote of confidence in the European economy and in the company’s ability to close the gap with Google.","Microsoft Unveils Plan for 3 Labs in Europe","Business","Microsoft"
"33",3,"2008-10-12T23:35:24+0000","Instead of having a big, loud and complex computer on your desk, what if you could have a quiet, thin machine that rarely needed an upgrade or a fix?","Revived Fervor for Smart Monitors Linked to a Server","Business","Microsoft"
"34",4,"2008-10-08T22:49:26+0000","Ways to make your Vista experience more livable, and perhaps even more lovable.","How I Stopped Worrying and Learned to Tolerate Vista","Business","Microsoft"
"35",5,"2008-09-23T01:46:35+0000","Microsoft said it would buy back $40 billion of its shares, H.P. would repurchase $8 billion in shares and Nike said it would take on $5 billion.","Microsoft, Hewlett-Packard and Nike Announce Buyback Plans for Shares","Business","Microsoft"
"36",6,"2008-09-18T00:08:25+0000","Microsoft’s new advertising campaign is an audacious embrace of the disdainful label that Apple has gleefully affixed onto users of Microsoft products: “I’m a PC.”","Echoing the Campaign of a Rival, Microsoft Aims to Redefine ‘I’m a PC’","Business","Microsoft"
"37",7,"2008-09-25T00:01:22+0000","The password for my Web-based mail account doesn’t work anymore and I can’t get into it. If it got hacked, what can I do?","Rescuing a Web Password","Business","Microsoft"
"38",8,"2008-09-24T01:31:56+0000","These days, Cisco is peddling e-mail software, video conferencing systems, cable TV boxes, and other products known as unified communications.","Cisco Tries to Break Out of the Data Center Role","Business","Microsoft"
"39",9,"2008-09-20T18:20:15+0000","Google does not set the prices of the search advertising market; its advertisers do. With auction pricing, even a major player can’t control the market.","Why the Google-Yahoo Ad Deal Is Nothing to Fear","SundayBusiness","Microsoft"
"40",10,"2008-09-18T20:29:46+0000","A puppet show by David Pogue, featuring Microsoft's Zune and Apple's iPod music players.","Zune + iPod: A Love Story","","Microsoft"
