"","id","created_time","snippet","headline","news_desk","company_name"
"1",1,"2008-11-18T12:01:46+0000","Saks said it lost more than expected in the third quarter amid job losses on Wall Street and stock market turmoil, while Home Depot said quarterly profit sank 31 percent on slow sales.","Rough Quarter for 2 Major Retailers","Business","The Home Depot"
"2",2,"2008-08-13T01:50:30+0000","Los Angeles’s proposed ordinance to require more orderly hiring sites for day laborers is a small measure that makes a huge amount of sense.","Day Laborers and Home Depot","Editorial","The Home Depot"
"3",3,"2008-09-06T00:13:14+0000","When you think about it, the sports business in this country is dominated by self-made men looking for mountains to conquer.","Leaving Boardroom for Skybox","Business","The Home Depot"
"4",4,"2008-08-20T01:37:22+0000","With the housing market in the doldrums and inflation running at a pace unseen in nearly two decades, consumers are not buying new homes. Instead they are focusing on repairs.","Home Repairs Become Focus as Consumers Feel Pinched","Business","The Home Depot"
"5",5,"2008-06-24T04:00:00+0000","Home Depot’s move will create the nation’s most widespread recycling program for the energy-saving bulbs, which have to be properly disposed of since they contain small amounts of mercury.","Home Depot Offers Recycling for Compact Fluorescent Bulbs","Business","The Home Depot"
"6",6,"2008-04-05T04:00:00+0000","Home Depot, the home improvement retailer, may cut as many as 1,000 jobs as it reduces human-resources departments in stores by half to shift more workers to the sales floor.","Home Depot Job Cuts","Business","The Home Depot"
"7",7,"2008-04-12T04:00:00+0000","Home Depot, the home improvement retailer that ousted its chief executive in early 2007, gave his successor compensation valued at $8.28 million last year, even as profit slid 24 percent.","Home Depot Chief’s Pay","Business","The Home Depot"
"8",8,"2008-01-31T05:00:00+0000","Battered by a downturn in the housing market, the company is laying off 500 workers at its headquarters in Atlanta, or about 10 percent of its work force there.","Home Depot Plans Layoffs at Headquarters","Business","The Home Depot"
"9",9,"2008-05-01T04:00:00+0000","The home improvement chain announced that it was dropping plans to open 50 stores and would close 15 poorly performing locations.","Slower Consumer Spending Hits Home Depot","Business","The Home Depot"
"10",10,"2008-02-01T05:00:00+0000","Battered by a downturn in the housing market, the company is laying off about 10% of its workforce at its headquarters in Atlanta.","Home Depot Will Lay Off 500 Workers","Business","The Home Depot"
"11",1,"2008-08-19T05:00:00+0000","","Home Depot posts 24% profit drop","IHT News","The Home Depot"
